j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	8     	1      	7      	4         	0         	1.080049605E-05 	3.503134097E-02 	0.00000000E+00  	1.21706000E+03  	8.86960000E+02  	0.00000000E+00  
0     	0      	0      	6     	5      	1      	4         	0         	8.236458453E-06 	1.798278586E-03 	0.00000000E+00  	1.21706000E+03  	9.03800000E+02  	0.00000000E+00  
0     	0      	0      	6     	1      	5      	4         	2         	6.274418714E-05 	8.437813937E-03 	0.00000000E+00  	1.21706000E+03  	5.44916000E+02  	3.65118000E+02  
0     	0      	0      	9     	1      	9      	4         	0         	3.828370247E-05 	2.489341565E-03 	0.00000000E+00  	1.21706000E+03  	9.22728000E+02  	0.00000000E+00  
0     	0      	0      	7     	4      	4      	4         	0         	1.316498440E-05 	5.056139877E-04 	0.00000000E+00  	1.21706000E+03  	9.35278000E+02  	0.00000000E+00  
0     	0      	0      	7     	1      	7      	4         	2         	1.963126917E-04 	4.321059810E-03 	0.00000000E+00  	1.21706000E+03  	5.87559000E+02  	3.65118000E+02  
0     	0      	0      	6     	2      	4      	4         	2         	2.964053830E-04 	4.149697494E-03 	0.00000000E+00  	1.21706000E+03  	6.05742000E+02  	3.65118000E+02  
0     	0      	0      	5     	4      	2      	4         	2         	2.402716648E-04 	2.683451341E-03 	0.00000000E+00  	1.21706000E+03  	6.16483000E+02  	3.65118000E+02  
0     	0      	0      	8     	2      	6      	4         	0         	2.584860398E-05 	2.440420343E-04 	0.00000000E+00  	1.21706000E+03  	9.90412000E+02  	0.00000000E+00  
0     	0      	0      	6     	3      	3      	4         	2         	2.140306927E-04 	1.086876350E-03 	0.00000000E+00  	1.21706000E+03  	6.65045000E+02  	3.65118000E+02  
0     	0      	0      	8     	3      	5      	4         	0         	1.621036472E-05 	5.768613646E-05 	0.00000000E+00  	1.21706000E+03  	1.05917500E+03  	0.00000000E+00  
