j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O       	E_i_H2        	E_f_H2O       	E_f_H2        
0     	0      	0      	0     	0      	0      	0         	0         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00
0     	0      	0      	1     	1      	1      	0         	0         	4.919133681E+00 	2.293623790E+00 	0.00000000E+00	0.00000000E+00	3.71580000E+01	0.00000000E+00
0     	0      	0      	2     	0      	2      	0         	0         	7.009476313E+00 	1.990278852E+00 	0.00000000E+00	0.00000000E+00	7.01330000E+01	0.00000000E+00
1     	1      	1      	0     	0      	0      	0         	0         	1.616670791E+00 	5.637271419E+00 	3.71580000E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00
1     	1      	1      	1     	1      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01	0.00000000E+00	3.71580000E+01	0.00000000E+00
1     	1      	1      	2     	0      	2      	0         	0         	1.813629857E+00 	9.094262552E-01 	3.71580000E+01	0.00000000E+00	7.01330000E+01	0.00000000E+00
1     	1      	1      	2     	1      	1      	0         	0         	7.516249545E+00 	2.522755032E+00 	3.71580000E+01	0.00000000E+00	9.52450000E+01	0.00000000E+00
2     	0      	2      	0     	0      	0      	0         	0         	1.411295826E+00 	9.277211674E+01 	7.01330000E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00
2     	0      	2      	1     	1      	1      	0         	0         	1.102785446E+00 	3.191573320E+00 	7.01330000E+01	0.00000000E+00	3.71580000E+01	0.00000000E+00
2     	0      	2      	2     	0      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	7.01330000E+01	0.00000000E+00	7.01330000E+01	0.00000000E+00
2     	0      	2      	2     	1      	1      	0         	0         	1.579447532E+00 	9.149052143E-01 	7.01330000E+01	0.00000000E+00	9.52450000E+01	0.00000000E+00
2     	0      	2      	2     	2      	0      	0         	0         	2.016567719E-01 	6.017086576E-02 	7.01330000E+01	0.00000000E+00	1.36588000E+02	0.00000000E+00
2     	0      	2      	3     	1      	3      	0         	0         	4.057163334E+00 	1.120945583E+00 	7.01330000E+01	0.00000000E+00	1.42331000E+02	0.00000000E+00
2     	1      	1      	1     	1      	1      	0         	0         	4.509492059E+00 	6.010452246E+01 	9.52450000E+01	0.00000000E+00	3.71580000E+01	0.00000000E+00
2     	1      	1      	2     	0      	2      	0         	0         	1.571920179E+00 	3.339367327E+00 	9.52450000E+01	0.00000000E+00	7.01330000E+01	0.00000000E+00
2     	1      	1      	2     	1      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	9.52450000E+01	0.00000000E+00	9.52450000E+01	0.00000000E+00
2     	1      	1      	2     	2      	0      	0         	0         	1.653015773E+00 	7.185113859E-01 	9.52450000E+01	0.00000000E+00	1.36588000E+02	0.00000000E+00
2     	1      	1      	3     	1      	3      	0         	0         	6.612037528E-01 	2.620134030E-01 	9.52450000E+01	0.00000000E+00	1.42331000E+02	0.00000000E+00
2     	2      	0      	2     	0      	2      	0         	0         	2.001397866E-01 	6.981283574E+00 	1.36588000E+02	0.00000000E+00	7.01330000E+01	0.00000000E+00
2     	2      	0      	2     	1      	1      	0         	0         	1.666677821E+00 	7.137662843E+00 	1.36588000E+02	0.00000000E+00	9.52450000E+01	0.00000000E+00
2     	2      	0      	2     	2      	0      	0         	0         	0.000000000E+00 	0.000000000E+00 	1.36588000E+02	0.00000000E+00	1.36588000E+02	0.00000000E+00
2     	2      	0      	3     	1      	3      	0         	0         	5.796940896E-01 	5.046359732E-01 	1.36588000E+02	0.00000000E+00	1.42331000E+02	0.00000000E+00
2     	2      	0      	3     	2      	2      	0         	0         	2.825232811E+00 	8.021998885E-01 	1.36588000E+02	0.00000000E+00	2.06720000E+02	0.00000000E+00
3     	1      	3      	2     	0      	2      	0         	0         	2.902821062E+00 	3.052035056E+02 	1.42331000E+02	0.00000000E+00	7.01330000E+01	0.00000000E+00
3     	1      	3      	2     	1      	1      	0         	0         	4.735043607E-01 	2.797232689E+00 	1.42331000E+02	0.00000000E+00	9.52450000E+01	0.00000000E+00
3     	1      	3      	2     	2      	0      	0         	0         	4.044387028E-01 	4.694201055E-01 	1.42331000E+02	0.00000000E+00	1.36588000E+02	0.00000000E+00
3     	1      	3      	3     	1      	3      	0         	0         	0.000000000E+00 	0.000000000E+00 	1.42331000E+02	0.00000000E+00	1.42331000E+02	0.00000000E+00
3     	1      	3      	3     	2      	2      	0         	0         	1.438874793E+00 	4.417041104E-01 	1.42331000E+02	0.00000000E+00	2.06720000E+02	0.00000000E+00
3     	1      	3      	4     	0      	4      	0         	0         	4.002137860E+00 	1.000794997E+00 	1.42331000E+02	0.00000000E+00	2.22310000E+02	0.00000000E+00
3     	2      	2      	2     	2      	0      	0         	0         	2.010567113E+00 	1.321654635E+02 	2.06720000E+02	0.00000000E+00	1.36588000E+02	0.00000000E+00
3     	2      	2      	3     	1      	3      	0         	0         	1.449004544E+00 	3.805563732E+01 	2.06720000E+02	0.00000000E+00	1.42331000E+02	0.00000000E+00
3     	2      	2      	3     	2      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.06720000E+02	0.00000000E+00	2.06720000E+02	0.00000000E+00
3     	2      	2      	4     	0      	4      	0         	0         	4.393671106E-02 	3.077414792E-02 	2.06720000E+02	0.00000000E+00	2.22310000E+02	0.00000000E+00
3     	2      	2      	4     	1      	3      	0         	0         	1.474082623E+00 	4.227894800E-01 	2.06720000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
4     	0      	4      	3     	1      	3      	0         	0         	2.305309958E+00 	4.610619916E+07 	2.22310000E+02	0.00000000E+00	1.42331000E+02	0.00000000E+00
4     	0      	4      	3     	2      	2      	0         	0         	3.414429434E-02 	5.267279965E-02 	2.22310000E+02	0.00000000E+00	2.06720000E+02	0.00000000E+00
4     	0      	4      	4     	0      	4      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.22310000E+02	0.00000000E+00	2.22310000E+02	0.00000000E+00
4     	0      	4      	4     	1      	3      	0         	0         	1.554584378E+00 	5.558436289E-01 	2.22310000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
4     	0      	4      	3     	3      	1      	0         	0         	4.841967949E-02 	1.473292554E-02 	2.22310000E+02	0.00000000E+00	2.87340000E+02	0.00000000E+00
4     	1      	3      	3     	2      	2      	0         	0         	1.148669500E+00 	6.516645204E+01 	2.76099000E+02	0.00000000E+00	2.06720000E+02	0.00000000E+00
4     	1      	3      	4     	0      	4      	0         	0         	1.554787170E+00 	1.448397992E+01 	2.76099000E+02	0.00000000E+00	2.22310000E+02	0.00000000E+00
4     	1      	3      	4     	1      	3      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.76099000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
4     	1      	3      	3     	3      	1      	0         	0         	8.287351269E-02 	6.371201077E-02 	2.76099000E+02	0.00000000E+00	2.87340000E+02	0.00000000E+00
4     	1      	3      	4     	2      	2      	0         	0         	1.922426789E+00 	8.476201894E-01 	2.76099000E+02	0.00000000E+00	3.16579000E+02	0.00000000E+00
4     	1      	3      	5     	1      	5      	0         	0         	1.485536407E-01 	5.550978498E-02 	2.76099000E+02	0.00000000E+00	3.26971000E+02	0.00000000E+00
3     	3      	1      	4     	0      	4      	0         	0         	6.185953210E-02 	1.766509236E+00 	2.87340000E+02	0.00000000E+00	2.22310000E+02	0.00000000E+00
3     	3      	1      	4     	1      	3      	0         	0         	1.065958867E-01 	1.442958361E-01 	2.87340000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
3     	3      	1      	3     	3      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.87340000E+02	0.00000000E+00	2.87340000E+02	0.00000000E+00
3     	3      	1      	4     	2      	2      	0         	0         	9.909502070E-01 	5.314632148E-01 	2.87340000E+02	0.00000000E+00	3.16579000E+02	0.00000000E+00
3     	3      	1      	5     	1      	5      	0         	0         	5.008274337E-02 	2.239628679E-02 	2.87340000E+02	0.00000000E+00	3.26971000E+02	0.00000000E+00
3     	3      	1      	0     	0      	0      	0         	2         	1.540998321E-01 	3.961749311E-02 	2.87340000E+02	0.00000000E+00	0.00000000E+00	3.65118000E+02
4     	2      	2      	4     	1      	3      	0         	0         	1.928262446E+00 	7.901469812E+00 	3.16579000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
4     	2      	2      	3     	3      	1      	0         	0         	7.557184186E-01 	1.877095862E+00 	3.16579000E+02	0.00000000E+00	2.87340000E+02	0.00000000E+00
4     	2      	2      	4     	2      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	3.16579000E+02	0.00000000E+00	3.16579000E+02	0.00000000E+00
4     	2      	2      	5     	1      	5      	0         	0         	3.827070625E-01 	2.997672617E-01 	3.16579000E+02	0.00000000E+00	3.26971000E+02	0.00000000E+00
4     	2      	2      	0     	0      	0      	0         	2         	3.004464179E-02 	1.163796604E-02 	3.16579000E+02	0.00000000E+00	0.00000000E+00	3.65118000E+02
4     	2      	2      	4     	3      	1      	0         	0         	2.093344662E+00 	6.007099671E-01 	3.16579000E+02	0.00000000E+00	3.85920000E+02	0.00000000E+00
5     	1      	5      	4     	1      	3      	0         	0         	1.220695089E-01 	9.208036216E-01 	3.26971000E+02	0.00000000E+00	2.76099000E+02	0.00000000E+00
5     	1      	5      	3     	3      	1      	0         	0         	3.174536737E-02 	1.246745906E-01 	3.26971000E+02	0.00000000E+00	2.87340000E+02	0.00000000E+00
5     	1      	5      	4     	2      	2      	0         	0         	3.125802281E-01 	4.128821407E-01 	3.26971000E+02	0.00000000E+00	3.16579000E+02	0.00000000E+00
5     	1      	5      	5     	1      	5      	0         	0         	0.000000000E+00 	0.000000000E+00 	3.26971000E+02	0.00000000E+00	3.26971000E+02	0.00000000E+00
5     	1      	5      	0     	0      	0      	0         	2         	1.853486010E-02 	8.498172306E-03 	3.26971000E+02	0.00000000E+00	0.00000000E+00	3.65118000E+02
5     	1      	5      	4     	3      	1      	0         	0         	6.314335984E-02 	2.093151588E-02 	3.26971000E+02	0.00000000E+00	3.85920000E+02	0.00000000E+00
5     	1      	5      	1     	1      	1      	0         	2         	3.803639606E-02 	1.009271037E-02 	3.26971000E+02	0.00000000E+00	3.71580000E+01	3.65118000E+02
4     	3      	1      	4     	2      	2      	0         	0         	2.105726218E+00 	1.186090753E+02 	3.85920000E+02	0.00000000E+00	3.16579000E+02	0.00000000E+00
4     	3      	1      	5     	1      	5      	0         	0         	7.701553650E-02 	1.112211591E+00 	3.85920000E+02	0.00000000E+00	3.26971000E+02	0.00000000E+00
4     	3      	1      	0     	0      	0      	0         	2         	3.055639721E-02 	5.580360078E-02 	3.85920000E+02	0.00000000E+00	0.00000000E+00	3.65118000E+02
4     	3      	1      	4     	3      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	3.85920000E+02	0.00000000E+00	3.85920000E+02	0.00000000E+00
4     	3      	1      	1     	1      	1      	0         	2         	2.798359943E-01 	1.928942995E-01 	3.85920000E+02	0.00000000E+00	3.71580000E+01	3.65118000E+02
4     	3      	1      	5     	2      	4      	0         	0         	1.353277492E+00 	7.004246778E-01 	3.85920000E+02	0.00000000E+00	4.17119000E+02	0.00000000E+00
4     	3      	1      	2     	0      	2      	0         	2         	7.628864858E-01 	2.918991224E-01 	3.85920000E+02	0.00000000E+00	7.01330000E+01	3.65118000E+02
4     	3      	1      	6     	0      	6      	0         	0         	4.722220464E-02 	1.509579545E-02 	3.85920000E+02	0.00000000E+00	4.47413000E+02	0.00000000E+00
