#N =          J1         KA         KC         J2          E
    1          1          0          1          1    145.505
    2          1          1          0          1    164.108
    3          2          1          2          1    201.219
    4          2          2          1          1    257.028
    5          3          0          3          1    258.596
    6          3          1          2          1    295.304
    7          3          2          1          1    334.334
    8          4          1          4          1    346.700
    9          3          3          0          1    409.243
   10          4          2          3          1    422.626
   11          5          0          5          1    447.495
   12          4          3          2          1    506.291
   13          5          1          4          1    522.376
   14          6          1          6          1    569.603
   15          5          2          3          1    569.804
   16          4          4          1          1    616.394
   17          5          3          2          1    632.940
   18          6          2          5          1    676.145
   19          7          0          7          1    709.076
   20          5          4          1          1    738.413
   21          1          0          1          3    754.035
   22          1          1          0          3    772.638
   23          6          3          4          1    773.677
   24          2          1          2          3    809.749
   25          7          1          6          1    828.868
   26          2          2          1          3    865.558
   27          3          0          3          3    867.126
   28          8          1          8          1    867.558
   29          5          5          0          1    879.441
   30          6          4          3          1    885.033
   31          3          1          2          3    903.834
   32          7          2          5          1    909.093
   33          3          2          1          3    942.864
   34          4          1          4          3    955.230
   35          7          3          4          1    969.695
   36          8          2          7          1   1010.945
   37          3          3          0          3   1017.773
   38          6          5          2          1   1025.474
   39          4          2          3          3   1031.156
   40          9          0          9          1   1044.408
   41          5          0          5          3   1056.025
   42          7          4          3          1   1060.650
   43          4          3          2          3   1114.821
   44          5          1          4          3   1130.906
   45          8          3          6          1   1133.975
   46          6          1          6          3   1178.133
   47          5          2          3          3   1178.334
   48          7          5          2          1   1196.817
   49          6          6          1          1   1198.237
   50          9          1          8          1   1206.257
   51          4          4          1          3   1224.924
   52         10          1         10          1   1239.874
   53          5          3          2          3   1241.470
   54          8          4          5          1   1253.817
   55          6          2          5          3   1284.675
   56          7          0          7          3   1317.606
   57          9          2          7          1   1333.972
   58          5          4          1          3   1346.943
   59          7          6          1          1   1368.477
   60          6          3          4          3   1382.207
   61          8          5          4          1   1393.180
   62          9          3          6          1   1418.290
   63         10          2          9          1   1422.381
   64          7          1          6          3   1437.398
   65         11          0         11          1   1453.868
   66          8          1          8          3   1476.088
   67          5          5          0          3   1487.971
   68          6          4          3          3   1493.563
   69          9          4          5          1   1496.405
   70          7          2          5          3   1517.623
   71          8          6          3          1   1563.772
   72          7          7          0          1   1572.798
   73          7          3          4          3   1578.225
   74         10          3          8          1   1579.774
   75          9          5          4          1   1617.814
   76          8          2          7          3   1619.475
   77          6          5          2          3   1634.004
