#N =          J1         KA         KC         J2          E
    1          0          0          0          0      0.000
    2          1          1          1          0     37.158
    3          2          0          2          0     70.133
    4          2          1          1          0     95.245
    5          2          2          0          0    136.588
    6          3          1          3          0    142.331
    7          3          2          2          0    206.720
    8          4          0          4          0    222.310
    9          4          1          3          0    276.099
   10          3          3          1          0    287.340
   11          4          2          2          0    316.579
   12          5          1          5          0    326.971
   13          0          0          0          2    365.118
   14          4          3          1          0    385.920
   15          1          1          1          2    402.276
   16          5          2          4          0    417.119
   17          2          0          2          2    435.251
   18          6          0          6          0    447.413
   19          2          1          1          2    460.363
   20          4          4          0          0    494.713
   21          2          2          0          2    501.706
   22          5          3          3          0    506.274
   23          3          1          3          2    507.449
   24          6          1          5          0    544.916
   25          3          2          2          2    571.838
   26          4          0          4          2    587.428
   27          7          1          7          0    587.559
   28          6          2          4          0    605.742
   29          5          4          2          0    616.483
   30          4          1          3          2    641.217
   31          3          3          1          2    652.458
   32          6          3          3          0    665.045
   33          4          2          2          2    681.697
   34          5          1          5          2    692.089
   35          7          2          6          0    712.042
   36          8          0          8          0    745.781
   37          4          3          1          2    751.038
   38          5          5          1          0    757.732
   39          6          4          2          0    764.401
   40          5          2          4          2    782.237
   41          6          0          6          2    812.531
   42          7          3          5          0    820.944
   43          4          4          0          2    859.831
   44          5          3          3          2    871.392
   45          8          1          7          0    886.960
   46          6          5          1          0    903.800
   47          6          1          5          2    910.034
   48          9          1          9          0    922.728
   49          7          4          4          0    935.278
   50          7          1          7          2    952.677
   51          6          2          4          2    970.860
   52          5          4          2          2    981.601
   53          8          2          6          0    990.412
   54          6          3          3          2   1030.163
   55          8          3          5          0   1059.175
   56          7          5          3          0   1074.924
   57          6          6          0          0   1076.531
   58          7          2          6          2   1077.160
   59          9          2          8          0   1085.548
   60          8          0          8          2   1110.899
   61         10          0         10          0   1118.159
   62          5          5          1          2   1122.850
   63          6          4          2          2   1129.519
   64          8          4          4          0   1141.911
   65          7          3          5          2   1186.062
   66          0          0          0          4   1217.060
   67          9          3          7          0   1224.951
   68          7          6          2          0   1246.767
   69          8          1          7          2   1252.078
   70          1          1          1          4   1254.218
   71          6          5          1          2   1268.918
   72          8          5          3          0   1272.246
   73          2          0          2          4   1287.193
   74          9          1          9          2   1287.846
   75         10          1          9          0   1300.259
   76          7          4          4          2   1300.396
   77          2          1          1          4   1312.305
   78         11          1         11          0   1332.166
   79          9          4          6          0   1353.279
   80          2          2          0          4   1353.648
   81          8          2          6          2   1355.530
   82          3          1          3          4   1359.391
   83          3          2          2          4   1423.780
   84          8          3          5          2   1424.293
   85          4          0          4          4   1439.370
   86          7          5          3          2   1440.042
   87          6          6          0          2   1441.649
   88          8          6          2          0   1442.095
   89          9          2          8          2   1450.666
   90          7          7          1          0   1451.092
   91         10          2          8          0   1451.429
   92         10          0         10          2   1483.277
   93          4          1          3          4   1493.159
   94          9          5          5          0   1493.585
   95          3          3          1          4   1504.400
   96          8          4          4          2   1507.029
   97          4          2          2          4   1533.639
   98         11          2         10          0   1534.465
   99          5          1          5          4   1544.031
  100         10          3          7          0   1557.545
  101         12          0         12          0   1564.716
  102          9          3          7          2   1590.069
  103          4          3          1          4   1602.980
  104          7          6          2          2   1611.885
  105          5          2          4          4   1634.179
  106          8          5          3          2   1637.364
  107         10          4          6          0   1637.483
  108          8          7          1          0   1645.533
  109          9          6          4          0   1662.719
  110          6          0          6          4   1664.473
  111         10          1          9          2   1665.377
  112         11          1         11          2   1697.284
  113         11          3          9          0   1710.870
  114          4          4          0          4   1711.773
  115          9          4          6          2   1718.397
  116          5          3          3          4   1723.334
  117         10          5          5          0   1748.051
  118          6          1          5          4   1761.976
  119         12          1         11          0   1786.779
  120          7          1          7          4   1804.619
  121          8          6          2          2   1807.213
  122         13          1         13          0   1815.824
  123          7          7          1          2   1816.210
  124         10          2          8          2   1816.547
  125          6          2          4          4   1822.802
  126          5          4          2          4   1833.543
  127          9          5          5          2   1858.703
  128          9          7          3          0   1864.974
  129         11          4          8          0   1865.093
  130          8          8          0          0   1881.415
  131          6          3          3          4   1882.105
  132         11          2         10          2   1899.583
  133         10          6          4          0   1909.534
  134         10          3          7          2   1922.663
  135          7          2          6          4   1929.102
  136         12          0         12          2   1929.834
  137          8          0          8          4   1962.841
  138          5          5          1          4   1974.792
  139         12          2         10          0   1981.367
  140          6          4          2          4   1981.461
  141         10          4          6          2   2002.601
  142          8          7          1          2   2010.651
  143         11          5          7          0   2014.030
  144          9          6          4          2   2027.837
  145          7          3          5          4   2038.004
  146         13          2         12          0   2057.783
  147         11          3          9          2   2075.988
  148         14          0         14          0   2085.484
  149          9          8          2          0   2100.067
  150          8          1          7          4   2104.020
  151         10          7          3          0   2109.692
  152         10          5          5          2   2113.169
  153          6          5          1          4   2120.860
  154         12          3          9          0   2138.537
  155          9          1          9          4   2139.788
  156         12          1         11          2   2151.897
  157          7          4          4          4   2152.338
  158         13          1         13          2   2180.942
  159         11          6          6          0   2181.184
  160          8          2          6          4   2207.472
  161          9          7          3          2   2230.092
  162         11          4          8          2   2230.211
  163         12          4          8          0   2246.228
  164          8          8          0          2   2246.533
  165         13          3         11          0   2273.615
  166         10          6          4          2   2274.652
  167          8          3          5          4   2276.235
  168          7          5          3          4   2291.984
  169          6          6          0          4   2293.591
  170          9          2          8          4   2302.608
  171         10          0         10          4   2335.219
  172         12          5          7          0   2342.291
  173         10          8          2          0   2343.673
  174         12          2         10          2   2346.485
  175         14          1         13          0   2347.260
  176          8          4          4          4   2358.971
  177          9          9          1          0   2367.500
  178         15          1         15          0   2373.699
  179         11          5          7          2   2379.148
  180         11          7          5          0   2379.900
  181         13          2         12          2   2422.901
  182          9          3          7          4   2442.011
  183         14          0         14          2   2450.602
  184         13          4         10          0   2462.683
  185          7          6          2          4   2463.827
  186          9          8          2          2   2465.185
  187         10          7          3          2   2474.810
  188         12          6          6          0   2483.865
  189          8          5          3          4   2489.306
  190         12          3          9          2   2503.655
  191         10          1          9          4   2517.319
  192         11          6          6          2   2546.302
  193         11          1         11          4   2549.226
  194          0          0          0          6   2555.826
  195          9          4          6          4   2570.339
  196         14          2         12          0   2582.789
  197          1          1          1          6   2592.984
  198         10          9          1          0   2610.369
  199         12          4          8          2   2611.346
  200         11          8          4          0   2612.446
  201          2          0          2          6   2625.959
  202         13          5          9          0   2632.286
  203         13          3         11          2   2638.733
  204          2          1          1          6   2651.071
  205         15          2         14          0   2655.302
  206          8          6          2          4   2659.155
  207          7          7          1          4   2668.152
  208         10          2          8          4   2668.489
  209         12          7          5          0   2676.293
  210         16          0         16          0   2680.468
  211          2          2          0          6   2692.414
  212          3          1          3          6   2698.157
  213         12          5          7          2   2707.409
  214         10          8          2          2   2708.791
  215          9          5          5          4   2710.645
  216         14          1         13          2   2712.378
  217          9          9          1          2   2732.618
  218         15          1         15          2   2738.817
  219         11          7          5          2   2745.018
  220         11          2         10          4   2751.525
  221          3          2          2          6   2762.546
  222         10          3          7          4   2774.605
  223          4          0          4          6   2778.136
  224         12          0         12          4   2781.776
  225         14          3         11          0   2787.422
  226         13          6          8          0   2803.302
  227         13          4         10          2   2827.801
  228          4          1          3          6   2831.925
  229          3          3          1          6   2843.166
  230         12          6          6          2   2848.983
  231         10          4          6          4   2854.543
  232          8          7          1          4   2862.593
  233          4          2          2          6   2872.405
  234         11          9          3          0   2878.154
  235          9          6          4          4   2879.779
  236          5          1          5          6   2882.797
  237         12          8          4          0   2906.644
  238         10         10          0          0   2909.347
  239         15          3         13          0   2911.067
  240         11          3          9          4   2927.930
  241          4          3          1          6   2941.746
  242         14          4         10          0   2946.481
  243         14          2         12          2   2947.907
  244         10          5          5          4   2965.111
  245          5          2          4          6   2972.945
  246         10          9          1          2   2975.487
  247         11          8          4          2   2977.564
  248         16          1         15          0   2981.879
  249         13          5          9          2   2997.404
  250         13          7          7          0   2998.104
  251          6          0          6          6   3003.239
  252         12          1         11          4   3003.839
  253         17          1         17          0   3005.792
  254         15          2         14          2   3020.420
  255         13          1         13          4   3032.884
  256         12          7          5          2   3041.411
  257         16          0         16          2   3045.586
  258          4          4          0          6   3050.539
  259         14          5          9          0   3057.268
  260          5          3          3          6   3062.100
  261          9          7          3          4   3082.034
  262         11          4          8          4   3082.153
  263          8          8          0          4   3098.475
  264          6          1          5          6   3100.742
  265         10          6          4          4   3126.594
  266         15          4         12          0   3139.217
  267          7          1          7          6   3143.385
  268         14          3         11          2   3152.540
  269          6          2          4          6   3161.568
  270         13          6          8          2   3168.420
  271         12          9          3          0   3171.043
  272          5          4          2          6   3172.309
  273         14          6          8          0   3175.287
  274         11         10          2          0   3176.436
  275         12          2         10          4   3198.427
  276          6          3          3          6   3220.871
  277         13          8          6          0   3226.489
  278         11          5          7          4   3231.090
  279         11          9          3          2   3243.272
  280         16          2         14          0   3257.569
  281          7          2          6          6   3267.868
  282         12          8          4          2   3271.762
  283         10         10          0          2   3274.465
  284         13          2         12          4   3274.843
  285         15          3         13          2   3276.185
  286          8          0          8          6   3301.607
  287         14          0         14          4   3302.544
  288         14          4         10          2   3311.599
  289          5          5          1          6   3313.558
  290          9          8          2          4   3317.127
  291          6          4          2          6   3320.227
  292         10          7          3          4   3326.752
  293         17          2         16          0   3327.006
  294         15          5         11          0   3340.513
  295         16          1         15          2   3346.997
  296         14          7          7          0   3349.450
  297         18          0         18          0   3349.671
  298         12          3          9          4   3355.597
  299         13          7          7          2   3363.222
  300         17          1         17          2   3370.910
  301          7          3          5          6   3376.770
  302         11          6          6          4   3398.244
  303         14          5          9          2   3422.386
  304          8          1          7          6   3442.786
  305          6          5          1          6   3459.626
  306         12          4          8          4   3463.288
  307         12         10          2          0   3468.414
  308          9          1          9          6   3478.554
  309         13          9          5          0   3489.238
  310         13          3         11          4   3490.675
  311          7          4          4          6   3491.104
  312         15          4         12          2   3504.335
  313         16          3         13          0   3505.015
  314         11         11          1          0   3506.955
  315         15          6         10          0   3526.627
  316         12          9          3          2   3536.161
  317         14          6          8          2   3540.405
  318         11         10          2          2   3541.554
  319          8          2          6          6   3546.238
  320         12          5          7          4   3559.351
  321         10          8          2          4   3560.733
  322         14          1         13          4   3564.320
  323         14          8          6          0   3572.525
  324          9          9          1          4   3584.560
  325         15          1         15          4   3590.759
  326         13          8          6          2   3591.607
  327         11          7          5          4   3596.960
  328          8          3          5          6   3615.001
  329         17          3         15          0   3622.685
  330         16          2         14          2   3622.687
  331          7          5          3          6   3630.750
  332          6          6          0          6   3632.357
  333          9          2          8          6   3641.374
  334         10          0         10          6   3673.985
  335         13          4         10          4   3679.743
  336         18          1         17          0   3690.680
  337         17          2         16          2   3692.124
  338          8          4          4          6   3697.737
  339         12          6          6          4   3700.925
  340         15          5         11          2   3705.631
  341         19          1         19          0   3712.105
  342         14          7          7          2   3714.568
  343         18          0         18          2   3714.789
  344         16          4         12          0   3716.640
  345         15          7          9          0   3721.276
  346          9          3          7          6   3780.777
  347         13         10          4          0   3785.442
  348         12         11          1          0   3798.267
  349         14          2         12          4   3799.849
  350          7          6          2          6   3802.593
  351         10          9          1          4   3827.429
  352          8          5          3          6   3828.072
  353         11          8          4          4   3829.506
  354         14          9          5          0   3832.984
  355         12         10          2          2   3833.532
  356         13          5          9          4   3849.346
  357         13          9          5          2   3854.356
  358         10          1          9          6   3856.085
  359         16          3         13          2   3870.133
  360         11         11          1          2   3872.073
  361         15          2         14          4   3872.362
  362         16          5         11          0   3874.306
  363         11          1         11          6   3887.992
  364         17          4         14          0   3891.092
  365         15          6         10          2   3891.745
  366         12          7          5          4   3893.353
  367         16          0         16          4   3897.528
  368          9          4          6          6   3909.105
  369         14          8          6          2   3937.643
  370         15          8          8          0   3944.382
  371         17          3         15          2   3987.803
  372         16          6         10          0   3992.138
  373          8          6          2          6   3997.921
  374         14          3         11          4   4004.482
  375         18          2         16          0   4006.275
  376          7          7          1          6   4006.918
  377         10          2          8          6   4007.255
  378         13          6          8          4   4020.362
  379          9          5          5          6   4049.411
  380         18          1         17          2   4055.798
  381         19          2         18          0   4072.905
  382         19          1         19          2   4077.223
  383         16          4         12          2   4081.758
  384         15          7          9          2   4086.394
  385         11          2         10          6   4090.291
  386         20          0         20          0   4093.093
  387         11          9          3          4   4095.214
  388         10          3          7          6   4113.371
  389         13         11          3          0   4114.445
  390         12          0         12          6   4120.542
  391         12          8          4          4   4123.704
  392         10         10          0          4   4126.407
  393         14         10          4          0   4127.701
  394         15          3         13          4   4128.127
  395         17          5         13          0   4130.543
  396         16          7          9          0   4137.737
  397         13         10          4          2   4150.560
  398         12         12          0          0   4160.325
  399         12         11          1          2   4163.385
  400         14          4         10          4   4163.541
  401         10          4          6          6   4193.309
  402         14          9          5          2   4198.102
  403         16          1         15          4   4198.939
  404          8          7          1          6   4201.359
  405         15          9          7          0   4202.501
  406         13          7          7          4   4215.164
  407          9          6          4          6   4218.545
  408         17          1         17          4   4222.852
  409         16          5         11          2   4239.424
  410         17          4         14          2   4256.210
  411         11          3          9          6   4266.696
  412         14          5          9          4   4274.328
  413         18          3         15          0   4294.713
  414         10          5          5          6   4303.877
  415         15          8          8          2   4309.500
  416         12          1         11          6   4342.605
  417         17          6         12          0   4344.193
  418         16          8          8          0   4344.771
  419         15          4         12          4   4356.277
  420         16          6         10          2   4357.256
  421         18          2         16          2   4371.393
  422         13          1         13          6   4371.650
  423          0          0          0          8   4381.416
  424         12          9          3          4   4388.103
  425         14          6          8          4   4392.347
  426         11         10          2          4   4393.496
  427         19          3         17          0   4408.407
  428          1          1          1          8   4418.574
  429          9          7          3          6   4420.800
  430         11          4          8          6   4420.919
  431          8          8          0          6   4437.241
  432         19          2         18          2   4438.023
  433         13          8          6          4   4443.549
  434          2          0          2          8   4451.549
  435         14         11          3          0   4455.633
  436         20          0         20          2   4458.211
  437         10          6          4          6   4465.360
  438         20          1         19          0   4473.680
  439         16          2         14          4   4474.629
  440         13         12          2          0   4475.862
  441          2          1          1          8   4476.661
  442         13         11          3          2   4479.563
  443         21          1         21          0   4492.637
  444         14         10          4          2   4492.819
  445         15         10          6          0   4495.388
  446         17          5         13          2   4495.661
  447         16          7          9          2   4502.855
  448          2          2          0          8   4518.004
  449          3          1          3          8   4523.747
  450         12         12          0          2   4525.443
  451         12          2         10          6   4537.193
  452         17          2         16          4   4544.066
  453         17          7         11          0   4548.380
  454         18          4         14          0   4552.260
  455         15          5         11          4   4557.573
  456         14          7          7          4   4566.510
  457         18          0         18          4   4566.731
  458         15          9          7          2   4567.619
  459         11          5          7          6   4569.856
  460          3          2          2          8   4588.136
  461         16          9          7          0   4598.231
  462          4          0          4          8   4603.726
  463         13          2         12          6   4613.609
  464         14          0         14          6   4641.310
  465          9          8          2          6   4655.893
  466          4          1          3          8   4657.515
  467         18          3         15          2   4659.831
  468         10          7          3          6   4665.518
  469          3          3          1          8   4668.756
  470         12         10          2          4   4685.474
  471         12          3          9          6   4694.363
  472          4          2          2          8   4697.995
  473         13          9          5          4   4706.298
  474          5          1          5          8   4708.387
  475         17          6         12          2   4709.311
  476         16          8          8          2   4709.889
  477         19          4         16          0   4717.138
  478         16          3         13          4   4722.075
  479         11         11          1          4   4724.015
  480         11          6          6          6   4737.010
  481         15          6         10          4   4743.687
  482         18          5         13          0   4767.163
  483          4          3          1          8   4767.336
  484         17          8         10          0   4768.141
  485         19          3         17          2   4773.525
  486         14          8          6          4   4789.585
  487          5          2          4          8   4798.535
  488         12          4          8          6   4802.054
  489         14         12          2          0   4816.245
  490         14         11          3          2   4820.751
  491         15         11          5          0   4821.990
  492          6          0          6          8   4828.829
  493         20          2         18          0   4829.064
  494         13          3         11          6   4829.441
  495         20          1         19          2   4838.798
  496         17          3         15          4   4839.745
  497         13         12          2          2   4840.980
  498         21          1         21          2   4857.755
  499         15         10          6          2   4860.506
  500         13         13          1          0   4869.456
  501          4          4          0          8   4876.129
  502          5          3          3          8   4887.690
  503         16         10          6          0   4888.730
  504         21          2         20          0   4893.006
  505         12          5          7          6   4898.117
  506         10          8          2          6   4899.499
  507         14          1         13          6   4903.086
  508         18          1         17          4   4907.740
  509         22          0         22          0   4910.736
  510         17          7         11          2   4913.498
  511         18          4         14          2   4917.378
  512         18          6         12          0   4922.085
  513          9          9          1          6   4923.326
  514          6          1          5          8   4926.332
  515         19          1         19          4   4929.165
  516         15          1         15          6   4929.525
  517         16          4         12          4   4933.700
  518         11          7          5          6   4935.726
  519         15          7          9          4   4938.336
  520         16          9          7          2   4963.349
  521          7          1          7          8   4968.975
  522          6          2          4          8   4987.158
  523         19          5         15          0   4997.064
  524          5          4          2          8   4997.899
  525         13         10          4          4   5002.502
  526         12         11          1          4   5015.327
  527         13          4         10          6   5018.509
  528         17          9          9          0   5020.052
  529         12          6          6          6   5039.691
  530          6          3          3          8   5046.461
  531         14          9          5          4   5050.044
  532         18          7         11          0   5052.765
  533         19          4         16          2   5082.256
  534         16          5         11          4   5091.366
  535          7          2          6          8   5093.458
  536         17          4         14          4   5108.152
  537          8          0          8          8   5127.197
  538         18          5         13          2   5132.281
  539         17          8         10          2   5133.259
  540         14          2         12          6   5138.615
  541          5          5          1          8   5139.148
  542          6          4          2          8   5145.817
  543         20          3         17          0   5157.874
  544         15          8          8          4   5161.442
  545         10          9          1          6   5166.195
  546         11          8          4          6   5168.272
  547         14         12          2          2   5181.363
  548         15         12          4          0   5181.607
  549         15         11          5          2   5187.108
  550         13          5          9          6   5188.112
  551         20          2         18          2   5194.182
  552          7          3          5          8   5202.360
  553         16          6         10          4   5209.198
  554         14         13          1          0   5209.219
  555         15          2         14          6   5211.128
  556         16         11          5          0   5213.689
  557         18          2         16          4   5223.335
  558         18          8         10          0   5230.285
  559         12          7          5          6   5232.119
  560         13         13          1          2   5234.574
  561         16          0         16          6   5236.294
  562         19          6         14          0   5247.096
  563         16         10          6          2   5253.848
