j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	1     	0      	1      	1         	1         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	1.21706000E+02  	2.37990000E+01  	1.21706000E+02  
1     	0      	1      	11    	5      	6      	7         	3         	8.765555846E-09 	3.831649218E-05 	2.37990000E+01  	3.40776800E+03  	2.02972200E+03  	7.30236000E+02  
1     	0      	1      	7     	4      	3      	7         	5         	3.225916924E-06 	6.789519645E-03 	2.37990000E+01  	3.40776800E+03  	9.38944000E+02  	1.82559000E+03  
1     	0      	1      	15    	1      	14     	7         	1         	2.650797316E-10 	1.649289327E-07 	2.37990000E+01  	3.40776800E+03  	2.65529800E+03  	1.21706000E+02  
1     	0      	1      	13    	1      	12     	7         	3         	1.261632739E-09 	3.990387526E-07 	2.37990000E+01  	3.40776800E+03  	2.05775700E+03  	7.30236000E+02  
1     	0      	1      	12    	7      	6      	7         	1         	7.845260530E-09 	1.582783633E-06 	2.37990000E+01  	3.40776800E+03  	2.67595400E+03  	1.21706000E+02  
1     	0      	1      	16    	1      	16     	7         	1         	1.169090337E-09 	1.971368462E-07 	2.37990000E+01  	3.40776800E+03  	2.68046800E+03  	1.21706000E+02  
1     	0      	1      	13    	5      	8      	7         	1         	2.513520378E-09 	3.532584011E-07 	2.37990000E+01  	3.40776800E+03  	2.68545500E+03  	1.21706000E+02  
1     	0      	1      	14    	1      	14     	7         	3         	4.379778539E-09 	4.666626660E-07 	2.37990000E+01  	3.40776800E+03  	2.08548400E+03  	7.30236000E+02  
1     	0      	1      	9     	8      	1      	7         	3         	1.092876301E-08 	7.811843139E-07 	2.37990000E+01  	3.40776800E+03  	2.10006700E+03  	7.30236000E+02  
1     	0      	1      	8     	3      	6      	7         	5         	1.984010070E-06 	1.185946889E-04 	2.37990000E+01  	3.40776800E+03  	1.01226900E+03  	1.82559000E+03  
1     	0      	1      	10    	7      	4      	7         	3         	4.540133776E-08 	2.592087964E-06 	2.37990000E+01  	3.40776800E+03  	2.10967100E+03  	7.30236000E+02  
1     	0      	1      	12    	4      	9      	7         	3         	4.677732390E-09 	1.206985228E-07 	2.37990000E+01  	3.40776800E+03  	2.15366100E+03  	7.30236000E+02  
1     	0      	1      	7     	5      	2      	7         	5         	2.891288866E-06 	5.892457079E-05 	2.37990000E+01  	3.40776800E+03  	1.07511100E+03  	1.82559000E+03  
1     	0      	1      	6     	6      	1      	7         	5         	6.825959857E-07 	1.365344140E-05 	2.37990000E+01  	3.40776800E+03  	1.07653100E+03  	1.82559000E+03  
1     	0      	1      	9     	1      	8      	7         	5         	6.701968012E-07 	1.209938372E-05 	2.37990000E+01  	3.40776800E+03  	1.08455100E+03  	1.82559000E+03  
1     	0      	1      	11    	6      	5      	7         	3         	4.317662567E-08 	7.517062875E-07 	2.37990000E+01  	3.40776800E+03  	2.18284300E+03  	7.30236000E+02  
1     	0      	1      	14    	4      	11     	7         	1         	1.150492444E-09 	2.002806100E-08 	2.37990000E+01  	3.40776800E+03  	2.79138300E+03  	1.21706000E+02  
1     	0      	1      	13    	6      	7      	7         	1         	9.204894959E-09 	1.234845206E-07 	2.37990000E+01  	3.40776800E+03  	2.81412700E+03  	1.21706000E+02  
1     	0      	1      	10    	1      	10     	7         	5         	8.957229120E-07 	1.105494435E-05 	2.37990000E+01  	3.40776800E+03  	1.11816800E+03  	1.82559000E+03  
1     	0      	1      	8     	4      	5      	7         	5         	2.152949140E-06 	2.312890645E-05 	2.37990000E+01  	3.40776800E+03  	1.13211100E+03  	1.82559000E+03  
1     	0      	1      	11    	9      	2      	7         	1         	1.154636824E-09 	8.576216937E-09 	2.37990000E+01  	3.40776800E+03  	2.87815500E+03  	1.21706000E+02  
1     	0      	1      	13    	2      	11     	7         	3         	4.499463298E-09 	3.254270093E-08 	2.37990000E+01  	3.40776800E+03  	2.27297900E+03  	7.30236000E+02  
1     	0      	1      	12    	8      	5      	7         	1         	3.430309523E-09 	2.053860630E-08 	2.37990000E+01  	3.40776800E+03  	2.90662900E+03  	1.21706000E+02  
1     	0      	1      	10    	10     	1      	7         	1         	2.352719044E-10 	1.381589301E-09 	2.37990000E+01  	3.40776800E+03  	2.90934700E+03  	1.21706000E+02  
1     	0      	1      	15    	2      	13     	7         	1         	1.809102403E-09 	1.050313202E-08 	2.37990000E+01  	3.40776800E+03  	2.91095700E+03  	1.21706000E+02  
1     	0      	1      	9     	2      	7      	7         	5         	1.400003703E-06 	7.837620886E-06 	2.37990000E+01  	3.40776800E+03  	1.21226600E+03  	1.82559000E+03  
1     	0      	1      	12    	5      	8      	7         	3         	1.667381479E-08 	9.096695060E-08 	2.37990000E+01  	3.40776800E+03  	2.31136400E+03  	7.30236000E+02  
1     	0      	1      	7     	6      	1      	7         	5         	1.727506248E-06 	7.713555205E-06 	2.37990000E+01  	3.40776800E+03  	1.24677100E+03  	1.82559000E+03  
1     	0      	1      	10    	8      	3      	7         	3         	1.625029769E-08 	7.186900409E-08 	2.37990000E+01  	3.40776800E+03  	2.34367200E+03  	7.30236000E+02  
1     	0      	1      	14    	2      	13     	7         	3         	1.298907836E-09 	5.619217625E-09 	2.37990000E+01  	3.40776800E+03  	2.34726900E+03  	7.30236000E+02  
1     	0      	1      	8     	5      	4      	7         	5         	4.882257144E-06 	1.880996894E-05 	2.37990000E+01  	3.40776800E+03  	1.27147400E+03  	1.82559000E+03  
1     	0      	1      	14    	5      	10     	7         	1         	4.000262613E-09 	1.538130162E-08 	2.37990000E+01  	3.40776800E+03  	2.97570500E+03  	1.21706000E+02  
1     	0      	1      	9     	9      	0      	7         	3         	3.060371205E-09 	1.174536296E-08 	2.37990000E+01  	3.40776800E+03  	2.36750000E+03  	7.30236000E+02  
1     	0      	1      	16    	2      	15     	7         	1         	3.520156228E-10 	1.306694930E-09 	2.37990000E+01  	3.40776800E+03  	2.98188000E+03  	1.21706000E+02  
1     	0      	1      	15    	0      	15     	7         	3         	4.158642865E-09 	1.540684277E-08 	2.37990000E+01  	3.40776800E+03  	2.37369900E+03  	7.30236000E+02  
1     	0      	1      	11    	7      	4      	7         	3         	2.623352216E-08 	9.382504560E-08 	2.37990000E+01  	3.40776800E+03  	2.37999300E+03  	7.30236000E+02  
1     	0      	1      	13    	7      	6      	7         	1         	4.673054144E-09 	1.576915276E-08 	2.37990000E+01  	3.40776800E+03  	2.99916200E+03  	1.21706000E+02  
