j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	1     	0      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
1     	0      	1      	1     	1      	0      	0         	0         	1.024728429E+00 	6.745422934E-01 	2.37990000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
1     	0      	1      	2     	1      	2      	0         	0         	4.670931454E+00 	1.623064299E+00 	2.37990000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
1     	1      	0      	1     	0      	1      	0         	0         	1.053343397E+00 	1.788358453E+00 	4.24020000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
1     	1      	0      	1     	1      	0      	0         	0         	0.000000000E+00 	0.000000000E+00 	4.24020000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
1     	1      	0      	2     	1      	2      	0         	0         	3.042636992E+00 	1.419828780E+00 	4.24020000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
2     	1      	2      	1     	0      	1      	0         	0         	2.788833657E+00 	3.026089679E+01 	7.95130000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
2     	1      	2      	1     	1      	0      	0         	0         	1.824571659E+00 	6.348128032E+00 	7.95130000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
2     	1      	2      	2     	1      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	7.95130000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
2     	1      	2      	2     	2      	1      	0         	0         	8.733548091E-01 	3.030505413E-01 	7.95130000E+01  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
2     	1      	2      	3     	0      	3      	0         	0         	2.971097393E+00 	1.007563086E+00 	7.95130000E+01  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
2     	2      	1      	2     	1      	2      	0         	0         	8.935587689E-01 	9.772082869E+00 	1.35322000E+02  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
2     	2      	1      	2     	2      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	1.35322000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
2     	2      	1      	3     	0      	3      	0         	0         	1.588937993E-01 	1.528447909E-01 	1.35322000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
2     	2      	1      	3     	1      	2      	0         	0         	1.236590434E+00 	5.657387645E-01 	1.35322000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
2     	2      	1      	3     	2      	1      	0         	0         	2.480513619E+00 	6.415539074E-01 	1.35322000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	0      	3      	2     	1      	2      	0         	0         	2.134507733E+00 	2.669048816E+01 	1.36890000E+02  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
3     	0      	3      	2     	2      	1      	0         	0         	1.143820578E-01 	1.190002368E-01 	1.36890000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
3     	0      	3      	3     	0      	3      	0         	0         	0.000000000E+00 	0.000000000E+00 	1.36890000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
3     	0      	3      	3     	1      	2      	0         	0         	1.697212421E+00 	7.974729807E-01 	1.36890000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
3     	0      	3      	3     	2      	1      	0         	0         	1.265909307E-01 	3.340364010E-02 	1.36890000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	1      	2      	2     	2      	1      	0         	0         	8.808496027E-01 	3.238175389E+00 	1.73598000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
3     	1      	2      	3     	0      	3      	0         	0         	1.694646677E+00 	5.786833412E+00 	1.73598000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
3     	1      	2      	3     	1      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	1.73598000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
3     	1      	2      	3     	2      	1      	0         	0         	1.865347780E+00 	8.426096607E-01 	1.73598000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	1      	2      	4     	1      	4      	0         	0         	2.180412278E-01 	8.082655242E-02 	1.73598000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
3     	2      	1      	2     	2      	1      	0         	0         	1.763561138E+00 	1.554688710E+03 	2.12628000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
3     	2      	1      	3     	0      	3      	0         	0         	1.262206094E-01 	4.447049623E+01 	2.12628000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
3     	2      	1      	3     	1      	2      	0         	0         	1.878176277E+00 	7.161200447E+00 	2.12628000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
3     	2      	1      	3     	2      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.12628000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	2      	1      	4     	1      	4      	0         	0         	3.974230481E-01 	2.981322938E-01 	2.12628000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
3     	2      	1      	3     	3      	0      	0         	0         	1.545487008E+00 	4.121812431E-01 	2.12628000E+02  	0.00000000E+00  	2.87537000E+02  	0.00000000E+00  
4     	1      	4      	3     	1      	2      	0         	0         	1.705291683E-01 	1.333909319E+00 	2.24994000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
4     	1      	4      	3     	2      	1      	0         	0         	3.054889196E-01 	4.274102311E-01 	2.24994000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
4     	1      	4      	4     	1      	4      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.24994000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
4     	1      	4      	3     	3      	0      	0         	0         	5.019988796E-02 	1.581199308E-02 	2.24994000E+02  	0.00000000E+00  	2.87537000E+02  	0.00000000E+00  
4     	1      	4      	4     	2      	3      	0         	0         	1.484113252E+00 	3.906691201E-01 	2.24994000E+02  	0.00000000E+00  	3.00920000E+02  	0.00000000E+00  
3     	3      	0      	3     	2      	1      	0         	0         	1.563247257E+00 	3.861156822E+02 	2.87537000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	3      	0      	4     	1      	4      	0         	0         	6.430416987E-02 	1.350563343E+00 	2.87537000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
3     	3      	0      	3     	3      	0      	0         	0         	0.000000000E+00 	0.000000000E+00 	2.87537000E+02  	0.00000000E+00  	2.87537000E+02  	0.00000000E+00  
3     	3      	0      	4     	2      	3      	0         	0         	1.048172367E+00 	7.692760336E-01 	2.87537000E+02  	0.00000000E+00  	3.00920000E+02  	0.00000000E+00  
3     	3      	0      	5     	0      	5      	0         	0         	3.239054503E-02 	1.482465123E-02 	2.87537000E+02  	0.00000000E+00  	3.25789000E+02  	0.00000000E+00  
