j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	9     	2      	7      	4         	0         	5.320797182E-05 	1.288640635E-04 	2.37990000E+01  	1.21706000E+03  	1.21226600E+03  	0.00000000E+00  
1     	0      	1      	7     	3      	4      	4         	2         	4.091975136E-04 	9.593189864E-04 	2.37990000E+01  	1.21706000E+03  	8.47989000E+02  	3.65118000E+02  
1     	0      	1      	1     	0      	1      	4         	4         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	1.21706000E+03  	2.37990000E+01  	1.21706000E+03  
1     	0      	1      	7     	6      	1      	4         	0         	7.081795353E-05 	6.140728682E-05 	2.37990000E+01  	1.21706000E+03  	1.24677100E+03  	0.00000000E+00  
1     	0      	1      	8     	2      	7      	4         	2         	7.526692904E-05 	5.510427487E-05 	2.37990000E+01  	1.21706000E+03  	8.89239000E+02  	3.65118000E+02  
1     	0      	1      	1     	1      	0      	4         	4         	3.167521169E+01 	2.085061494E+01 	2.37990000E+01  	1.21706000E+03  	4.24020000E+01  	1.21706000E+03  
1     	0      	1      	6     	5      	2      	4         	2         	5.628509158E-04 	3.086820861E-04 	2.37990000E+01  	1.21706000E+03  	9.03768000E+02  	3.65118000E+02  
1     	0      	1      	8     	5      	4      	4         	0         	7.644484724E-05 	3.998579728E-05 	2.37990000E+01  	1.21706000E+03  	1.27147400E+03  	0.00000000E+00  
1     	0      	1      	9     	0      	9      	4         	2         	5.981668766E-05 	2.374997525E-05 	2.37990000E+01  	1.21706000E+03  	9.22702000E+02  	3.65118000E+02  
1     	0      	1      	2     	1      	2      	4         	4         	1.886145211E+01 	6.554008066E+00 	2.37990000E+01  	1.21706000E+03  	7.95130000E+01  	1.21706000E+03  
1     	0      	1      	9     	3      	6      	4         	0         	9.876748922E-06 	3.431452219E-06 	2.37990000E+01  	1.21706000E+03  	1.29658400E+03  	0.00000000E+00  
1     	0      	1      	10    	2      	9      	4         	0         	3.018950183E-06 	9.883776729E-07 	2.37990000E+01  	1.21706000E+03  	1.30067500E+03  	0.00000000E+00  
1     	0      	1      	7     	4      	3      	4         	2         	1.105094188E-03 	3.448892667E-04 	2.37990000E+01  	1.21706000E+03  	9.38944000E+02  	3.65118000E+02  
1     	1      	0      	9     	2      	7      	4         	0         	3.378267085E-05 	2.009079444E-04 	4.24020000E+01  	1.21706000E+03  	1.21226600E+03  	0.00000000E+00  
1     	1      	0      	7     	3      	4      	4         	2         	1.494852791E-03 	8.452659263E-03 	4.24020000E+01  	1.21706000E+03  	8.47989000E+02  	3.65118000E+02  
1     	1      	0      	1     	0      	1      	4         	4         	3.719560415E+01 	6.315043149E+01 	4.24020000E+01  	1.21706000E+03  	2.37990000E+01  	1.21706000E+03  
1     	1      	0      	7     	6      	1      	4         	0         	3.775270952E-05 	5.333056861E-05 	4.24020000E+01  	1.21706000E+03  	1.24677100E+03  	0.00000000E+00  
1     	1      	0      	8     	2      	7      	4         	2         	8.301483957E-05 	9.471714253E-05 	4.24020000E+01  	1.21706000E+03  	8.89239000E+02  	3.65118000E+02  
1     	1      	0      	1     	1      	0      	4         	4         	0.000000000E+00 	0.000000000E+00 	4.24020000E+01  	1.21706000E+03  	4.24020000E+01  	1.21706000E+03  
1     	1      	0      	6     	5      	2      	4         	2         	4.502356380E-04 	3.603470631E-04 	4.24020000E+01  	1.21706000E+03  	9.03768000E+02  	3.65118000E+02  
