j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	4     	4      	1      	8         	6         	8.518942771E-07 	8.044869221E-07 	2.37990000E+01  	4.38141600E+03  	4.94688000E+02  	2.55582600E+03  
1     	0      	1      	5     	3      	2      	8         	6         	1.534428370E-06 	1.450066630E-06 	2.37990000E+01  	4.38141600E+03  	5.11234000E+02  	2.55582600E+03  
1     	0      	1      	5     	4      	1      	8         	6         	1.203543558E-06 	1.142521200E-06 	2.37990000E+01  	4.38141600E+03  	6.16707000E+02  	2.55582600E+03  
1     	0      	1      	5     	5      	0      	8         	6         	6.300701922E-07 	6.017369761E-07 	2.37990000E+01  	4.38141600E+03  	7.57735000E+02  	2.55582600E+03  
1     	0      	1      	6     	2      	5      	8         	6         	6.128279075E-07 	5.802080396E-07 	2.37990000E+01  	4.38141600E+03  	5.54439000E+02  	2.55582600E+03  
1     	0      	1      	6     	3      	4      	8         	6         	1.656847953E-06 	1.575214883E-06 	2.37990000E+01  	4.38141600E+03  	6.51971000E+02  	2.55582600E+03  
1     	0      	1      	6     	4      	3      	8         	6         	1.869131660E-06 	1.785505524E-06 	2.37990000E+01  	4.38141600E+03  	7.63327000E+02  	2.55582600E+03  
1     	0      	1      	6     	5      	2      	8         	6         	1.132541924E-06 	1.088358329E-06 	2.37990000E+01  	4.38141600E+03  	9.03768000E+02  	2.55582600E+03  
1     	0      	1      	6     	6      	1      	8         	6         	5.835461973E-07 	5.649058832E-07 	2.37990000E+01  	4.38141600E+03  	1.07653100E+03  	2.55582600E+03  
1     	0      	1      	7     	0      	7      	8         	6         	9.250188752E-07 	8.770170072E-07 	2.37990000E+01  	4.38141600E+03  	5.87370000E+02  	2.55582600E+03  
1     	0      	1      	7     	1      	6      	8         	6         	8.695700589E-07 	8.286772023E-07 	2.37990000E+01  	4.38141600E+03  	7.07162000E+02  	2.55582600E+03  
1     	0      	1      	7     	2      	5      	8         	6         	1.178441465E-06 	1.126872199E-06 	2.37990000E+01  	4.38141600E+03  	7.87387000E+02  	2.55582600E+03  
1     	0      	1      	7     	3      	4      	8         	6         	1.665293774E-06 	1.596534200E-06 	2.37990000E+01  	4.38141600E+03  	8.47989000E+02  	2.55582600E+03  
1     	0      	1      	7     	4      	3      	8         	6         	3.974793957E-06 	3.825439332E-06 	2.37990000E+01  	4.38141600E+03  	9.38944000E+02  	2.55582600E+03  
1     	0      	1      	7     	5      	2      	8         	6         	3.328468703E-06 	3.221953108E-06 	2.37990000E+01  	4.38141600E+03  	1.07511100E+03  	2.55582600E+03  
1     	0      	1      	7     	6      	1      	8         	6         	1.835079817E-06 	1.789291883E-06 	2.37990000E+01  	4.38141600E+03  	1.24677100E+03  	2.55582600E+03  
1     	0      	1      	7     	7      	0      	8         	6         	4.890982030E-07 	4.810149484E-07 	2.37990000E+01  	4.38141600E+03  	1.45109200E+03  	2.55582600E+03  
1     	0      	1      	8     	1      	8      	8         	6         	1.239351170E-06 	1.183019992E-06 	2.37990000E+01  	4.38141600E+03  	7.45852000E+02  	2.55582600E+03  
1     	0      	1      	8     	2      	7      	8         	6         	8.804555782E-07 	8.455841445E-07 	2.37990000E+01  	4.38141600E+03  	8.89239000E+02  	2.55582600E+03  
1     	0      	1      	8     	3      	6      	8         	6         	1.860921354E-06 	1.796578423E-06 	2.37990000E+01  	4.38141600E+03  	1.01226900E+03  	2.55582600E+03  
1     	0      	1      	8     	4      	5      	8         	6         	1.721994822E-06 	1.670914805E-06 	2.37990000E+01  	4.38141600E+03  	1.13211100E+03  	2.55582600E+03  
