j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	4     	1      	4      	2         	0         	1.362652210E-02 	2.596965985E+02 	2.37990000E+01  	3.65118000E+02  	2.24994000E+02  	0.00000000E+00  
1     	0      	1      	3     	3      	0      	2         	0         	1.013463438E-01 	6.801204103E-01 	2.37990000E+01  	3.65118000E+02  	2.87537000E+02  	0.00000000E+00  
1     	0      	1      	4     	2      	3      	2         	0         	3.140587887E-02 	1.439629757E-01 	2.37990000E+01  	3.65118000E+02  	3.00920000E+02  	0.00000000E+00  
1     	0      	1      	5     	0      	5      	2         	0         	2.449402592E-02 	6.419964842E-02 	2.37990000E+01  	3.65118000E+02  	3.25789000E+02  	0.00000000E+00  
1     	0      	1      	4     	3      	2      	2         	0         	1.501241315E-01 	1.583242337E-01 	2.37990000E+01  	3.65118000E+02  	3.84585000E+02  	0.00000000E+00  
1     	0      	1      	1     	0      	1      	2         	2         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	3.65118000E+02  	2.37990000E+01  	3.65118000E+02  
1     	0      	1      	5     	1      	4      	2         	0         	6.127790711E-03 	5.340519932E-03 	2.37990000E+01  	3.65118000E+02  	4.00670000E+02  	0.00000000E+00  
1     	0      	1      	1     	1      	0      	2         	2         	3.293672717E+01 	2.660437800E+01 	2.37990000E+01  	3.65118000E+02  	4.24020000E+01  	3.65118000E+02  
1     	0      	1      	2     	1      	2      	2         	2         	1.822640634E+01 	1.018988981E+01 	2.37990000E+01  	3.65118000E+02  	7.95130000E+01  	3.65118000E+02  
1     	0      	1      	6     	1      	6      	2         	0         	2.278024509E-02 	1.236731624E-02 	2.37990000E+01  	3.65118000E+02  	4.47897000E+02  	0.00000000E+00  
1     	0      	1      	5     	2      	3      	2         	0         	4.589170371E-02 	2.486974666E-02 	2.37990000E+01  	3.65118000E+02  	4.48098000E+02  	0.00000000E+00  
1     	0      	1      	4     	4      	1      	2         	0         	6.513844533E-02 	2.420194096E-02 	2.37990000E+01  	3.65118000E+02  	4.94688000E+02  	0.00000000E+00  
1     	0      	1      	2     	2      	1      	2         	2         	3.167281569E+00 	1.128361219E+00 	2.37990000E+01  	3.65118000E+02  	1.35322000E+02  	3.65118000E+02  
1     	0      	1      	3     	0      	3      	2         	2         	3.653128819E+00 	1.286821216E+00 	2.37990000E+01  	3.65118000E+02  	1.36890000E+02  	3.65118000E+02  
1     	0      	1      	5     	3      	2      	2         	0         	1.676632687E-02 	5.532913347E-03 	2.37990000E+01  	3.65118000E+02  	5.11234000E+02  	0.00000000E+00  
1     	0      	1      	3     	1      	2      	2         	2         	7.637076707E-01 	2.099574791E-01 	2.37990000E+01  	3.65118000E+02  	1.73598000E+02  	3.65118000E+02  
1     	1      	0      	3     	3      	0      	2         	0         	1.805353766E-01 	2.416007976E+00 	4.24020000E+01  	3.65118000E+02  	2.87537000E+02  	0.00000000E+00  
1     	1      	0      	4     	2      	3      	2         	0         	4.208437724E-02 	3.350591368E-01 	4.24020000E+01  	3.65118000E+02  	3.00920000E+02  	0.00000000E+00  
