j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	1     	1      	1      	7         	7         	2.957169253E+01 	6.342202530E+01 	0.00000000E+00  	3.40776800E+03  	3.71580000E+01  	3.40776800E+03  
0     	0      	0      	10    	1      	9      	7         	5         	1.245962549E-06 	7.937420489E-06 	0.00000000E+00  	3.40776800E+03  	1.30025900E+03  	1.82559000E+03  
0     	0      	0      	10    	3      	7      	7         	5         	6.028325083E-08 	2.887477939E-08 	0.00000000E+00  	3.40776800E+03  	1.55754500E+03  	1.82559000E+03  
0     	0      	0      	10    	4      	6      	7         	5         	3.111695452E-07 	8.901122999E-07 	0.00000000E+00  	3.40776800E+03  	1.63748300E+03  	1.82559000E+03  
0     	0      	0      	10    	9      	1      	7         	3         	6.172794343E-10 	1.589384291E-11 	0.00000000E+00  	3.40776800E+03  	2.61036900E+03  	7.30236000E+02  
0     	0      	0      	11    	1      	11     	7         	5         	4.615118105E-07 	2.084308493E-06 	0.00000000E+00  	3.40776800E+03  	1.33216600E+03  	1.82559000E+03  
0     	0      	0      	11    	2      	10     	7         	5         	8.325918739E-09 	1.356149541E-09 	0.00000000E+00  	3.40776800E+03  	1.53446500E+03  	1.82559000E+03  
0     	0      	0      	11    	6      	6      	7         	3         	1.254061634E-07 	3.396658407E-06 	0.00000000E+00  	3.40776800E+03  	2.18118400E+03  	7.30236000E+02  
0     	0      	0      	11    	8      	4      	7         	3         	1.421207936E-09 	4.939305944E-11 	0.00000000E+00  	3.40776800E+03  	2.61244600E+03  	7.30236000E+02  
0     	0      	0      	12    	0      	12     	7         	5         	1.059474343E-08 	6.474383883E-09 	0.00000000E+00  	3.40776800E+03  	1.56471600E+03  	1.82559000E+03  
0     	0      	0      	12    	3      	9      	7         	3         	1.480570376E-07 	4.873769555E-06 	0.00000000E+00  	3.40776800E+03  	2.13853700E+03  	7.30236000E+02  
0     	0      	0      	12    	4      	8      	7         	3         	4.355548689E-09 	8.399029149E-08 	0.00000000E+00  	3.40776800E+03  	2.24622800E+03  	7.30236000E+02  
0     	0      	0      	12    	6      	6      	7         	1         	4.488648688E-06 	3.658027803E-04 	0.00000000E+00  	3.40776800E+03  	2.48386500E+03  	1.21706000E+02  
0     	0      	0      	12    	7      	5      	7         	3         	4.274702720E-10 	4.143319145E-10 	0.00000000E+00  	3.40776800E+03  	2.67629300E+03  	7.30236000E+02  
0     	0      	0      	13    	5      	9      	7         	3         	1.653852679E-10 	3.121234802E-11 	0.00000000E+00  	3.40776800E+03  	2.63228600E+03  	7.30236000E+02  
0     	0      	0      	14    	2      	12     	7         	1         	9.259320695E-10 	5.620251882E-08 	0.00000000E+00  	3.40776800E+03  	2.58278900E+03  	1.21706000E+02  
0     	0      	0      	15    	2      	14     	7         	3         	1.770504085E-34 	9.232550552E-35 	0.00000000E+00  	3.40776800E+03  	2.65530200E+03  	7.30236000E+02  
0     	0      	0      	16    	0      	16     	7         	3         	1.743512813E-38 	1.873834973E-38 	0.00000000E+00  	3.40776800E+03  	2.68046800E+03  	7.30236000E+02  
0     	0      	0      	2     	0      	2      	7         	7         	7.728485697E+00 	2.721866117E+01 	0.00000000E+00  	3.40776800E+03  	7.01330000E+01  	3.40776800E+03  
0     	0      	0      	8     	5      	3      	7         	5         	1.182884524E-04 	9.771499402E-04 	0.00000000E+00  	3.40776800E+03  	1.27224600E+03  	1.82559000E+03  
