j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	0     	0      	0      	1         	1         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00  	1.21706000E+02  	0.00000000E+00  	1.21706000E+02  
0     	0      	0      	1     	1      	1      	1         	1         	1.799412183E+01 	1.706669808E+01 	0.00000000E+00  	1.21706000E+02  	3.71580000E+01  	1.21706000E+02  
0     	0      	0      	2     	0      	2      	1         	1         	6.696955168E+00 	6.067352510E+00 	0.00000000E+00  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
0     	0      	0      	2     	1      	1      	1         	1         	1.577697995E+00 	1.381316356E+00 	0.00000000E+00  	1.21706000E+02  	9.52450000E+01  	1.21706000E+02  
0     	0      	0      	2     	2      	0      	1         	1         	4.231916085E+00 	3.506662589E+00 	0.00000000E+00  	1.21706000E+02  	1.36588000E+02  	1.21706000E+02  
0     	0      	0      	3     	1      	3      	1         	1         	1.408358507E+00 	1.158243668E+00 	0.00000000E+00  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
0     	0      	0      	3     	2      	2      	1         	1         	5.764772657E-02 	4.365388957E-02 	0.00000000E+00  	1.21706000E+02  	2.06720000E+02  	1.21706000E+02  
0     	0      	0      	4     	0      	4      	1         	1         	6.094329350E-01 	4.525906522E-01 	0.00000000E+00  	1.21706000E+02  	2.22310000E+02  	1.21706000E+02  
0     	0      	0      	4     	1      	3      	1         	1         	1.631026284E-01 	1.134135380E-01 	0.00000000E+00  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
0     	0      	0      	3     	3      	1      	1         	1         	3.653927168E-01 	2.506737868E-01 	0.00000000E+00  	1.21706000E+02  	2.87340000E+02  	1.21706000E+02  
0     	0      	0      	4     	2      	2      	1         	1         	1.145954787E-01 	7.593982817E-02 	0.00000000E+00  	1.21706000E+02  	3.16579000E+02  	1.21706000E+02  
0     	0      	0      	5     	1      	5      	1         	1         	1.304796881E-01 	8.541994760E-02 	0.00000000E+00  	1.21706000E+02  	3.26971000E+02  	1.21706000E+02  
0     	0      	0      	4     	3      	1      	1         	1         	1.170269446E-02 	7.159993713E-03 	0.00000000E+00  	1.21706000E+02  	3.85920000E+02  	1.21706000E+02  
0     	0      	0      	5     	2      	4      	1         	1         	2.883739459E-02 	1.703811412E-02 	0.00000000E+00  	1.21706000E+02  	4.17119000E+02  	1.21706000E+02  
0     	0      	0      	6     	0      	6      	1         	1         	4.416918762E-02 	2.524134032E-02 	0.00000000E+00  	1.21706000E+02  	4.47413000E+02  	1.21706000E+02  
0     	0      	0      	4     	4      	0      	1         	1         	1.114907623E-02 	6.054892602E-03 	0.00000000E+00  	1.21706000E+02  	4.94713000E+02  	1.21706000E+02  
0     	0      	0      	5     	3      	3      	1         	1         	5.585325117E-02 	2.996351711E-02 	0.00000000E+00  	1.21706000E+02  	5.06274000E+02  	1.21706000E+02  
0     	0      	0      	6     	1      	5      	1         	1         	7.203823776E-04 	3.711486813E-04 	0.00000000E+00  	1.21706000E+02  	5.44916000E+02  	1.21706000E+02  
0     	0      	0      	7     	1      	7      	1         	1         	2.275211765E-02 	1.122102122E-02 	0.00000000E+00  	1.21706000E+02  	5.87559000E+02  	1.21706000E+02  
0     	0      	0      	6     	2      	4      	1         	1         	1.006417627E-03 	4.873292980E-04 	0.00000000E+00  	1.21706000E+02  	6.05742000E+02  	1.21706000E+02  
0     	0      	0      	0     	0      	0      	1         	3         	2.174035113E-03 	1.049773987E-03 	0.00000000E+00  	1.21706000E+02  	0.00000000E+00  	7.30236000E+02  
0     	0      	0      	5     	4      	2      	1         	1         	2.821705152E-03 	1.351712123E-03 	0.00000000E+00  	1.21706000E+02  	6.16483000E+02  	1.21706000E+02  
0     	0      	0      	1     	1      	1      	1         	3         	4.418063980E-03 	2.056021726E-03 	0.00000000E+00  	1.21706000E+02  	3.71580000E+01  	7.30236000E+02  
0     	0      	0      	6     	3      	3      	1         	1         	1.812895418E-03 	8.278120888E-04 	0.00000000E+00  	1.21706000E+02  	6.65045000E+02  	1.21706000E+02  
0     	0      	0      	2     	0      	2      	1         	3         	2.317031893E-03 	1.044101736E-03 	0.00000000E+00  	1.21706000E+02  	7.01330000E+01  	7.30236000E+02  
0     	0      	0      	2     	1      	1      	1         	3         	8.861699080E-04 	3.897863901E-04 	0.00000000E+00  	1.21706000E+02  	9.52450000E+01  	7.30236000E+02  
0     	0      	0      	7     	2      	6      	1         	1         	9.075874127E-04 	3.960670394E-04 	0.00000000E+00  	1.21706000E+02  	7.12042000E+02  	1.21706000E+02  
0     	0      	0      	2     	2      	0      	1         	3         	2.440066759E-03 	1.032035813E-03 	0.00000000E+00  	1.21706000E+02  	1.36588000E+02  	7.30236000E+02  
0     	0      	0      	8     	0      	8      	1         	1         	3.137772283E-03 	1.326307702E-03 	0.00000000E+00  	1.21706000E+02  	7.45781000E+02  	1.21706000E+02  
0     	0      	0      	3     	1      	3      	1         	3         	3.368995711E-03 	1.417280705E-03 	0.00000000E+00  	1.21706000E+02  	1.42331000E+02  	7.30236000E+02  
0     	0      	0      	5     	5      	1      	1         	1         	4.923172012E-04 	2.057841309E-04 	0.00000000E+00  	1.21706000E+02  	7.57732000E+02  	1.21706000E+02  
0     	0      	0      	6     	4      	2      	1         	1         	8.545854076E-03 	3.549966978E-03 	0.00000000E+00  	1.21706000E+02  	7.64401000E+02  	1.21706000E+02  
0     	0      	0      	3     	2      	2      	1         	3         	2.490301047E-04 	9.872339379E-05 	0.00000000E+00  	1.21706000E+02  	2.06720000E+02  	7.30236000E+02  
0     	0      	0      	7     	3      	5      	1         	1         	6.162144524E-04 	2.430278982E-04 	0.00000000E+00  	1.21706000E+02  	8.20944000E+02  	1.21706000E+02  
0     	0      	0      	4     	0      	4      	1         	3         	3.223142768E-03 	1.259846329E-03 	0.00000000E+00  	1.21706000E+02  	2.22310000E+02  	7.30236000E+02  
0     	0      	0      	4     	1      	3      	1         	3         	4.421632074E-04 	1.647389114E-04 	0.00000000E+00  	1.21706000E+02  	2.76099000E+02  	7.30236000E+02  
0     	0      	0      	8     	1      	7      	1         	1         	2.388479818E-04 	8.880632688E-05 	0.00000000E+00  	1.21706000E+02  	8.86960000E+02  	1.21706000E+02  
0     	0      	0      	3     	3      	1      	1         	3         	6.722836169E-04 	2.480141862E-04 	0.00000000E+00  	1.21706000E+02  	2.87340000E+02  	7.30236000E+02  
0     	0      	0      	6     	5      	1      	1         	1         	1.282187841E-04 	4.697450731E-05 	0.00000000E+00  	1.21706000E+02  	9.03800000E+02  	1.21706000E+02  
0     	0      	0      	9     	1      	9      	1         	1         	2.979677291E-04 	1.073814122E-04 	0.00000000E+00  	1.21706000E+02  	9.22728000E+02  	1.21706000E+02  
0     	0      	0      	4     	2      	2      	1         	3         	1.212343235E-03 	4.360036486E-04 	0.00000000E+00  	1.21706000E+02  	3.16579000E+02  	7.30236000E+02  
0     	0      	0      	7     	4      	4      	1         	1         	8.782293147E-05 	3.130825541E-05 	0.00000000E+00  	1.21706000E+02  	9.35278000E+02  	1.21706000E+02  
0     	0      	0      	5     	1      	5      	1         	3         	5.798444912E-04 	2.066707577E-04 	0.00000000E+00  	1.21706000E+02  	3.26971000E+02  	7.30236000E+02  
