j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	0     	0      	0      	3         	3         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00  	7.30236000E+02  	0.00000000E+00  	7.30236000E+02  
0     	0      	0      	1     	1      	1      	3         	3         	3.740255887E+01 	2.492317536E+01 	0.00000000E+00  	7.30236000E+02  	3.71580000E+01  	7.30236000E+02  
0     	0      	0      	2     	0      	2      	3         	3         	1.995829966E+01 	9.832241976E+00 	0.00000000E+00  	7.30236000E+02  	7.01330000E+01  	7.30236000E+02  
0     	0      	0      	2     	1      	1      	3         	3         	3.078629337E+00 	1.238202160E+00 	0.00000000E+00  	7.30236000E+02  	9.52450000E+01  	7.30236000E+02  
0     	0      	0      	2     	2      	0      	3         	3         	3.041535771E+00 	9.110005443E-01 	0.00000000E+00  	7.30236000E+02  	1.36588000E+02  	7.30236000E+02  
0     	0      	0      	3     	1      	3      	3         	3         	3.505463669E+00 	1.011097439E+00 	0.00000000E+00  	7.30236000E+02  	1.42331000E+02  	7.30236000E+02  
0     	0      	0      	4     	4      	0      	3         	1         	1.586612796E-02 	1.643557070E-01 	0.00000000E+00  	7.30236000E+02  	4.94713000E+02  	1.21706000E+02  
0     	0      	0      	5     	3      	3      	3         	1         	2.521003907E-02 	3.654081099E-03 	0.00000000E+00  	7.30236000E+02  	5.06274000E+02  	1.21706000E+02  
0     	0      	0      	5     	4      	2      	3         	1         	6.496374467E-03 	7.137240550E-03 	0.00000000E+00  	7.30236000E+02  	6.16483000E+02  	1.21706000E+02  
0     	0      	0      	5     	5      	1      	3         	1         	2.645378267E-03 	9.586012252E-03 	0.00000000E+00  	7.30236000E+02  	7.57732000E+02  	1.21706000E+02  
0     	0      	0      	6     	0      	6      	3         	1         	2.772067053E-03 	1.629204314E-06 	0.00000000E+00  	7.30236000E+02  	4.47413000E+02  	1.21706000E+02  
0     	0      	0      	6     	1      	5      	3         	1         	1.238078862E-03 	4.678777333E-04 	0.00000000E+00  	7.30236000E+02  	5.44916000E+02  	1.21706000E+02  
0     	0      	0      	6     	2      	4      	3         	1         	2.887277566E-03 	2.790599135E-03 	0.00000000E+00  	7.30236000E+02  	6.05742000E+02  	1.21706000E+02  
0     	0      	0      	6     	3      	3      	3         	1         	3.175971559E-03 	5.722080100E-03 	0.00000000E+00  	7.30236000E+02  	6.65045000E+02  	1.21706000E+02  
0     	0      	0      	6     	4      	2      	3         	1         	4.858685978E-03 	1.836137425E-02 	0.00000000E+00  	7.30236000E+02  	7.64401000E+02  	1.21706000E+02  
0     	0      	0      	7     	1      	7      	3         	1         	2.131557499E-03 	1.624504655E-03 	0.00000000E+00  	7.30236000E+02  	5.87559000E+02  	1.21706000E+02  
0     	0      	0      	7     	2      	6      	3         	1         	6.470951253E-04 	1.712711679E-03 	0.00000000E+00  	7.30236000E+02  	7.12042000E+02  	1.21706000E+02  
0     	0      	0      	8     	0      	8      	3         	1         	5.463468918E-04 	1.832100905E-03 	0.00000000E+00  	7.30236000E+02  	7.45781000E+02  	1.21706000E+02  
1     	1      	1      	0     	0      	0      	3         	3         	9.970854213E+00 	1.660235468E+01 	3.71580000E+01  	7.30236000E+02  	0.00000000E+00  	7.30236000E+02  
1     	1      	1      	1     	1      	1      	3         	3         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01  	7.30236000E+02  	3.71580000E+01  	7.30236000E+02  
1     	1      	1      	2     	0      	2      	3         	3         	2.323612594E+01 	1.614418233E+01 	3.71580000E+01  	7.30236000E+02  	7.01330000E+01  	7.30236000E+02  
1     	1      	1      	2     	1      	1      	3         	3         	1.225993809E+01 	6.709219744E+00 	3.71580000E+01  	7.30236000E+02  	9.52450000E+01  	7.30236000E+02  
1     	1      	1      	2     	2      	0      	3         	3         	6.386845480E+00 	2.488113785E+00 	3.71580000E+01  	7.30236000E+02  	1.36588000E+02  	7.30236000E+02  
1     	1      	1      	3     	1      	3      	3         	3         	4.289793244E+00 	1.600907074E+00 	3.71580000E+01  	7.30236000E+02  	1.42331000E+02  	7.30236000E+02  
1     	1      	1      	4     	4      	0      	3         	1         	3.010427501E-02 	4.102245328E+00 	3.71580000E+01  	7.30236000E+02  	4.94713000E+02  	1.21706000E+02  
1     	1      	1      	5     	3      	3      	3         	1         	3.336559000E-02 	8.086646437E-04 	3.71580000E+01  	7.30236000E+02  	5.06274000E+02  	1.21706000E+02  
1     	1      	1      	5     	4      	2      	3         	1         	1.874885429E-02 	1.270311275E-02 	3.71580000E+01  	7.30236000E+02  	6.16483000E+02  	1.21706000E+02  
1     	1      	1      	5     	5      	1      	3         	1         	1.222518120E-02 	3.444526940E-02 	3.71580000E+01  	7.30236000E+02  	7.57732000E+02  	1.21706000E+02  
1     	1      	1      	6     	1      	5      	3         	1         	2.925295529E-03 	4.442633568E-04 	3.71580000E+01  	7.30236000E+02  	5.44916000E+02  	1.21706000E+02  
1     	1      	1      	6     	2      	4      	3         	1         	9.704509007E-03 	5.577023425E-03 	3.71580000E+01  	7.30236000E+02  	6.05742000E+02  	1.21706000E+02  
1     	1      	1      	6     	3      	3      	3         	1         	1.087325835E-02 	1.357202972E-02 	3.71580000E+01  	7.30236000E+02  	6.65045000E+02  	1.21706000E+02  
1     	1      	1      	6     	4      	2      	3         	1         	1.326014486E-02 	3.918092491E-02 	3.71580000E+01  	7.30236000E+02  	7.64401000E+02  	1.21706000E+02  
1     	1      	1      	7     	1      	7      	3         	1         	3.583916655E-03 	1.504710789E-03 	3.71580000E+01  	7.30236000E+02  	5.87559000E+02  	1.21706000E+02  
1     	1      	1      	7     	2      	6      	3         	1         	1.070786011E-03 	2.104300517E-03 	3.71580000E+01  	7.30236000E+02  	7.12042000E+02  	1.21706000E+02  
1     	1      	1      	8     	0      	8      	3         	1         	1.287698476E-03 	3.322036792E-03 	3.71580000E+01  	7.30236000E+02  	7.45781000E+02  	1.21706000E+02  
2     	0      	2      	0     	0      	0      	3         	3         	2.691561843E+00 	8.133460836E+00 	7.01330000E+01  	7.30236000E+02  	0.00000000E+00  	7.30236000E+02  
2     	0      	2      	1     	1      	1      	3         	3         	1.309823442E+01 	2.045081632E+01 	7.01330000E+01  	7.30236000E+02  	3.71580000E+01  	7.30236000E+02  
