j_i   		ka_i   		kc_i   		j_f   		ka_f   		kc_f   		H2_i(j)   		H2_f(j)   			sigmaU(Ang^2)   		sigmaE(Ang^2)   		E_i_H2O         		E_i_H2          		E_f_H2O         		E_f_H2          
0		0		0		0		0		0		3		3			0.000000000000E+00		0.000000000000E+00		0.000000000000E+00		7.302360000000E+02		0.000000000000E+00		7.302360000000E+02
0		0		0		1		1		1		3		1			1.540671145000E+01		3.139633168000E+01		0.000000000000E+00		7.302360000000E+02		3.715800000000E+01		1.217060000000E+02
0		0		0		1		1		1		3		3			4.458708184000E+01		3.614948301000E+01		0.000000000000E+00		7.302360000000E+02		3.715800000000E+01		7.302360000000E+02
0		0		0		2		0		2		3		1			1.430794253000E+00		3.943189058000E+00		0.000000000000E+00		7.302360000000E+02		7.013300000000E+01		1.217060000000E+02
0		0		0		2		0		2		3		3			1.631742211000E+01		1.116846647000E+01		0.000000000000E+00		7.302360000000E+02		7.013300000000E+01		7.302360000000E+02
0		0		0		2		1		1		3		1			3.025590470000E-01		1.086787701000E+00		0.000000000000E+00		7.302360000000E+02		9.524500000000E+01		1.217060000000E+02
0		0		0		2		1		1		3		3			3.240207806000E+00		1.966995078000E+00		0.000000000000E+00		7.302360000000E+02		9.524500000000E+01		7.302360000000E+02
0		0		0		2		2		0		3		1			7.040146296000E-02		4.300836459000E-01		0.000000000000E+00		7.302360000000E+02		1.365880000000E+02		1.217060000000E+02
0		0		0		2		2		0		3		3			3.415295229000E+00		1.726399997000E+00		0.000000000000E+00		7.302360000000E+02		1.365880000000E+02		7.302360000000E+02
0		0		0		3		1		3		3		1			2.996633435000E-02		1.995707449000E-01		0.000000000000E+00		7.302360000000E+02		1.423310000000E+02		1.217060000000E+02
0		0		0		3		1		3		3		3			2.727037357000E+00		1.345589490000E+00		0.000000000000E+00		7.302360000000E+02		1.423310000000E+02		7.302360000000E+02
