j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	0     	0      	0      	0         	0         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00  	0.00000000E+00  	0.00000000E+00  	0.00000000E+00  
0     	0      	0      	1     	1      	1      	0         	0         	4.139150855E+00 	3.722427774E+00 	0.00000000E+00  	0.00000000E+00  	3.71580000E+01  	0.00000000E+00  
0     	0      	0      	2     	0      	2      	0         	0         	2.694412837E+00 	2.215302731E+00 	0.00000000E+00  	0.00000000E+00  	7.01330000E+01  	0.00000000E+00  
0     	0      	0      	2     	1      	1      	0         	0         	1.820966048E-02 	1.401974777E-02 	0.00000000E+00  	0.00000000E+00  	9.52450000E+01  	0.00000000E+00  
0     	0      	0      	2     	2      	0      	0         	0         	2.205854836E-01 	1.531081244E-01 	0.00000000E+00  	0.00000000E+00  	1.36588000E+02  	0.00000000E+00  
0     	0      	0      	3     	1      	3      	0         	0         	6.660871421E-01 	4.559096398E-01 	0.00000000E+00  	0.00000000E+00  	1.42331000E+02  	0.00000000E+00  
0     	0      	0      	3     	2      	2      	0         	0         	1.422676078E-03 	8.377594768E-04 	0.00000000E+00  	0.00000000E+00  	2.06720000E+02  	0.00000000E+00  
0     	0      	0      	4     	0      	4      	0         	0         	1.067873595E-01 	6.073334466E-02 	0.00000000E+00  	0.00000000E+00  	2.22310000E+02  	0.00000000E+00  
0     	0      	0      	4     	1      	3      	0         	0         	1.549456183E-03 	7.850477911E-04 	0.00000000E+00  	0.00000000E+00  	2.76099000E+02  	0.00000000E+00  
0     	0      	0      	3     	3      	1      	0         	0         	6.572118210E-03 	3.253047577E-03 	0.00000000E+00  	0.00000000E+00  	2.87340000E+02  	0.00000000E+00  
0     	0      	0      	4     	2      	2      	0         	0         	1.221351780E-02 	5.696540738E-03 	0.00000000E+00  	0.00000000E+00  	3.16579000E+02  	0.00000000E+00  
0     	0      	0      	5     	1      	5      	0         	0         	3.464492988E-02 	1.582765792E-02 	0.00000000E+00  	0.00000000E+00  	3.26971000E+02  	0.00000000E+00  
0     	0      	0      	0     	0      	0      	0         	2         	2.089564949E-02 	8.863306965E-03 	0.00000000E+00  	0.00000000E+00  	0.00000000E+00  	3.65118000E+02  
0     	0      	0      	4     	3      	1      	0         	0         	1.979749838E-06 	8.073528196E-07 	0.00000000E+00  	0.00000000E+00  	3.85920000E+02  	0.00000000E+00  
0     	0      	0      	1     	1      	1      	0         	2         	3.456134562E-02 	1.367224040E-02 	0.00000000E+00  	0.00000000E+00  	3.71580000E+01  	3.65118000E+02  
0     	0      	0      	5     	2      	4      	0         	0         	6.772053677E-05 	2.607108765E-05 	0.00000000E+00  	0.00000000E+00  	4.17119000E+02  	0.00000000E+00  
0     	0      	0      	2     	0      	2      	0         	2         	2.644270044E-02 	9.852160777E-03 	0.00000000E+00  	0.00000000E+00  	7.01330000E+01  	3.65118000E+02  
0     	0      	0      	6     	0      	6      	0         	0         	4.006046785E-03 	1.460620801E-03 	0.00000000E+00  	0.00000000E+00  	4.47413000E+02  	0.00000000E+00  
0     	0      	0      	2     	1      	1      	0         	2         	1.157455067E-02 	4.124972716E-03 	0.00000000E+00  	0.00000000E+00  	9.52450000E+01  	3.65118000E+02  
0     	0      	0      	4     	4      	0      	0         	0         	5.261426743E-04 	1.767201912E-04 	0.00000000E+00  	0.00000000E+00  	4.94713000E+02  	0.00000000E+00  
0     	0      	0      	2     	2      	0      	0         	2         	7.216458408E-03 	2.395299590E-03 	0.00000000E+00  	0.00000000E+00  	1.36588000E+02  	3.65118000E+02  
0     	0      	0      	5     	3      	3      	0         	0         	1.585643008E-04 	5.222704612E-05 	0.00000000E+00  	0.00000000E+00  	5.06274000E+02  	0.00000000E+00  
0     	0      	0      	3     	1      	3      	0         	2         	4.559238499E-03 	1.498732029E-03 	0.00000000E+00  	0.00000000E+00  	1.42331000E+02  	3.65118000E+02  
0     	0      	0      	6     	1      	5      	0         	0         	1.081748689E-05 	3.342088389E-06 	0.00000000E+00  	0.00000000E+00  	5.44916000E+02  	0.00000000E+00  
0     	0      	0      	3     	2      	2      	0         	2         	4.256170057E-04 	1.259086479E-04 	0.00000000E+00  	0.00000000E+00  	2.06720000E+02  	3.65118000E+02  
0     	0      	0      	4     	0      	4      	0         	2         	1.566270049E-03 	4.520326726E-04 	0.00000000E+00  	0.00000000E+00  	2.22310000E+02  	3.65118000E+02  
0     	0      	0      	7     	1      	7      	0         	0         	7.523287369E-04 	2.170806667E-04 	0.00000000E+00  	0.00000000E+00  	5.87559000E+02  	0.00000000E+00  
0     	0      	0      	6     	2      	4      	0         	0         	7.343123734E-05 	2.059404890E-05 	0.00000000E+00  	0.00000000E+00  	6.05742000E+02  	0.00000000E+00  
0     	0      	0      	5     	4      	2      	0         	0         	1.127535585E-07 	3.110107693E-08 	0.00000000E+00  	0.00000000E+00  	6.16483000E+02  	0.00000000E+00  
0     	0      	0      	4     	1      	3      	0         	2         	8.764991469E-04 	2.328125749E-04 	0.00000000E+00  	0.00000000E+00  	2.76099000E+02  	3.65118000E+02  
0     	0      	0      	3     	3      	1      	0         	2         	7.581715054E-04 	1.980040934E-04 	0.00000000E+00  	0.00000000E+00  	2.87340000E+02  	3.65118000E+02  
0     	0      	0      	6     	3      	3      	0         	0         	7.247171971E-07 	1.857461671E-07 	0.00000000E+00  	0.00000000E+00  	6.65045000E+02  	0.00000000E+00  
0     	0      	0      	4     	2      	2      	0         	2         	7.029921692E-04 	1.758045026E-04 	0.00000000E+00  	0.00000000E+00  	3.16579000E+02  	3.65118000E+02  
1     	1      	1      	0     	0      	0      	0         	0         	1.757220288E+00 	1.965599501E+00 	3.71580000E+01  	0.00000000E+00  	0.00000000E+00  	0.00000000E+00  
1     	1      	1      	1     	1      	1      	0         	0         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01  	0.00000000E+00  	3.71580000E+01  	0.00000000E+00  
1     	1      	1      	2     	0      	2      	0         	0         	1.395035298E+00 	1.269309757E+00 	3.71580000E+01  	0.00000000E+00  	7.01330000E+01  	0.00000000E+00  
1     	1      	1      	2     	1      	1      	0         	0         	2.915398856E+00 	2.475663885E+00 	3.71580000E+01  	0.00000000E+00  	9.52450000E+01  	0.00000000E+00  
1     	1      	1      	2     	2      	0      	0         	0         	1.976933907E+00 	1.505802552E+00 	3.71580000E+01  	0.00000000E+00  	1.36588000E+02  	0.00000000E+00  
1     	1      	1      	3     	1      	3      	0         	0         	6.484676325E-01 	4.867475939E-01 	3.71580000E+01  	0.00000000E+00  	1.42331000E+02  	0.00000000E+00  
1     	1      	1      	3     	2      	2      	0         	0         	1.712234624E-01 	1.098190174E-01 	3.71580000E+01  	0.00000000E+00  	2.06720000E+02  	0.00000000E+00  
1     	1      	1      	4     	0      	4      	0         	0         	3.283877619E-01 	2.031151873E-01 	3.71580000E+01  	0.00000000E+00  	2.22310000E+02  	0.00000000E+00  
1     	1      	1      	4     	1      	3      	0         	0         	6.358690244E-03 	3.486950444E-03 	3.71580000E+01  	0.00000000E+00  	2.76099000E+02  	0.00000000E+00  
1     	1      	1      	3     	3      	1      	0         	0         	3.882703056E-02 	2.078135272E-02 	3.71580000E+01  	0.00000000E+00  	2.87340000E+02  	0.00000000E+00  
1     	1      	1      	4     	2      	2      	0         	0         	3.427698839E-02 	1.724699673E-02 	3.71580000E+01  	0.00000000E+00  	3.16579000E+02  	0.00000000E+00  
1     	1      	1      	5     	1      	5      	0         	0         	5.117492184E-02 	2.520162893E-02 	3.71580000E+01  	0.00000000E+00  	3.26971000E+02  	0.00000000E+00  
1     	1      	1      	0     	0      	0      	0         	2         	5.060615549E-02 	2.307433659E-02 	3.71580000E+01  	0.00000000E+00  	0.00000000E+00  	3.65118000E+02  
1     	1      	1      	4     	3      	1      	0         	0         	2.018266434E-03 	8.834751394E-04 	3.71580000E+01  	0.00000000E+00  	3.85920000E+02  	0.00000000E+00  
1     	1      	1      	1     	1      	1      	0         	2         	6.189003416E-02 	2.625189378E-02 	3.71580000E+01  	0.00000000E+00  	3.71580000E+01  	3.65118000E+02  
1     	1      	1      	5     	2      	4      	0         	0         	7.016163438E-03 	2.893435272E-03 	3.71580000E+01  	0.00000000E+00  	4.17119000E+02  	0.00000000E+00  
1     	1      	1      	2     	0      	2      	0         	2         	2.977842359E-02 	1.187160684E-02 	3.71580000E+01  	0.00000000E+00  	7.01330000E+01  	3.65118000E+02  
1     	1      	1      	6     	0      	6      	0         	0         	7.405200191E-03 	2.886810554E-03 	3.71580000E+01  	0.00000000E+00  	4.47413000E+02  	0.00000000E+00  
1     	1      	1      	2     	1      	1      	0         	2         	2.240764242E-02 	8.531752529E-03 	3.71580000E+01  	0.00000000E+00  	9.52450000E+01  	3.65118000E+02  
1     	1      	1      	4     	4      	0      	0         	0         	8.105220392E-04 	2.902822987E-04 	3.71580000E+01  	0.00000000E+00  	4.94713000E+02  	0.00000000E+00  
1     	1      	1      	2     	2      	0      	0         	2         	1.101778151E-02 	3.897948143E-03 	3.71580000E+01  	0.00000000E+00  	1.36588000E+02  	3.65118000E+02  
1     	1      	1      	5     	3      	3      	0         	0         	3.064760221E-03 	1.075680246E-03 	3.71580000E+01  	0.00000000E+00  	5.06274000E+02  	0.00000000E+00  
1     	1      	1      	3     	1      	3      	0         	2         	8.541235297E-03 	2.991728635E-03 	3.71580000E+01  	0.00000000E+00  	1.42331000E+02  	3.65118000E+02  
1     	1      	1      	6     	1      	5      	0         	0         	3.345053024E-04 	1.099027699E-04 	3.71580000E+01  	0.00000000E+00  	5.44916000E+02  	0.00000000E+00  
1     	1      	1      	3     	2      	2      	0         	2         	3.878531536E-03 	1.218529412E-03 	3.71580000E+01  	0.00000000E+00  	2.06720000E+02  	3.65118000E+02  
1     	1      	1      	4     	0      	4      	0         	2         	1.625307910E-03 	4.977891089E-04 	3.71580000E+01  	0.00000000E+00  	2.22310000E+02  	3.65118000E+02  
1     	1      	1      	7     	1      	7      	0         	0         	1.330620052E-03 	4.074468530E-04 	3.71580000E+01  	0.00000000E+00  	5.87559000E+02  	0.00000000E+00  
1     	1      	1      	6     	2      	4      	0         	0         	1.643747945E-04 	4.887989122E-05 	3.71580000E+01  	0.00000000E+00  	6.05742000E+02  	0.00000000E+00  
1     	1      	1      	5     	4      	2      	0         	0         	2.307972057E-05 	6.746780484E-06 	3.71580000E+01  	0.00000000E+00  	6.16483000E+02  	0.00000000E+00  
1     	1      	1      	4     	1      	3      	0         	2         	5.328377832E-04 	1.498276417E-04 	3.71580000E+01  	0.00000000E+00  	2.76099000E+02  	3.65118000E+02  
1     	1      	1      	3     	3      	1      	0         	2         	1.187722279E-03 	3.282106873E-04 	3.71580000E+01  	0.00000000E+00  	2.87340000E+02  	3.65118000E+02  
1     	1      	1      	6     	3      	3      	0         	0         	1.197234728E-04 	3.245108636E-05 	3.71580000E+01  	0.00000000E+00  	6.65045000E+02  	0.00000000E+00  
1     	1      	1      	4     	2      	2      	0         	2         	6.775955088E-04 	1.790801111E-04 	3.71580000E+01  	0.00000000E+00  	3.16579000E+02  	3.65118000E+02  
1     	1      	1      	5     	1      	5      	0         	2         	7.963000610E-04 	2.071929983E-04 	3.71580000E+01  	0.00000000E+00  	3.26971000E+02  	3.65118000E+02  
1     	1      	1      	7     	2      	6      	0         	0         	1.482236256E-05 	3.744101435E-06 	3.71580000E+01  	0.00000000E+00  	7.12042000E+02  	0.00000000E+00  
2     	0      	2      	0     	0      	0      	0         	0         	5.183476026E-01 	6.440020183E-01 	7.01330000E+01  	0.00000000E+00  	0.00000000E+00  	0.00000000E+00  
2     	0      	2      	1     	1      	1      	0         	0         	8.652041015E-01 	9.553671224E-01 	7.01330000E+01  	0.00000000E+00  	3.71580000E+01  	0.00000000E+00  
2     	0      	2      	2     	0      	2      	0         	0         	0.000000000E+00 	0.000000000E+00 	7.01330000E+01  	0.00000000E+00  	7.01330000E+01  	0.00000000E+00  
2     	0      	2      	2     	1      	1      	0         	0         	1.694596827E+00 	1.576359895E+00 	7.01330000E+01  	0.00000000E+00  	9.52450000E+01  	0.00000000E+00  
2     	0      	2      	2     	2      	0      	0         	0         	1.043020572E-01 	8.660080561E-02 	7.01330000E+01  	0.00000000E+00  	1.36588000E+02  	0.00000000E+00  
2     	0      	2      	3     	1      	3      	0         	0         	2.116968893E+00 	1.731020533E+00 	7.01330000E+01  	0.00000000E+00  	1.42331000E+02  	0.00000000E+00  
2     	0      	2      	3     	2      	2      	0         	0         	1.590508288E-01 	1.103969930E-01 	7.01330000E+01  	0.00000000E+00  	2.06720000E+02  	0.00000000E+00  
2     	0      	2      	4     	0      	4      	0         	0         	3.740287712E-01 	2.499982392E-01 	7.01330000E+01  	0.00000000E+00  	2.22310000E+02  	0.00000000E+00  
2     	0      	2      	4     	1      	3      	0         	0         	3.140942706E-02 	1.852723117E-02 	7.01330000E+01  	0.00000000E+00  	2.76099000E+02  	0.00000000E+00  
2     	0      	2      	3     	3      	1      	0         	0         	5.499036352E-03 	3.163079092E-03 	7.01330000E+01  	0.00000000E+00  	2.87340000E+02  	0.00000000E+00  
2     	0      	2      	4     	2      	2      	0         	0         	8.669729666E-03 	4.677695735E-03 	7.01330000E+01  	0.00000000E+00  	3.16579000E+02  	0.00000000E+00  
2     	0      	2      	5     	1      	5      	0         	0         	2.390547150E-01 	1.261407592E-01 	7.01330000E+01  	0.00000000E+00  	3.26971000E+02  	0.00000000E+00  
2     	0      	2      	0     	0      	0      	0         	2         	8.220075079E-02 	4.005311011E-02 	7.01330000E+01  	0.00000000E+00  	0.00000000E+00  	3.65118000E+02  
2     	0      	2      	4     	3      	1      	0         	0         	1.390352742E-02 	6.495071551E-03 	7.01330000E+01  	0.00000000E+00  	3.85920000E+02  	0.00000000E+00  
2     	0      	2      	1     	1      	1      	0         	2         	5.227239125E-02 	2.363783336E-02 	7.01330000E+01  	0.00000000E+00  	3.71580000E+01  	3.65118000E+02  
