j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2           
0     	0      	0      	0     	0      	0      	2         	0         	4.777162057E-03 	2.213420151E-02 	0.00000000E+00  	3.65118000E+02  	0.00000000E+00  	0.00000000E+00  
0     	0      	0      	1     	1      	1      	2         	0         	2.910655795E-02 	1.080328513E-01 	0.00000000E+00  	3.65118000E+02  	3.71580000E+01  	0.00000000E+00  
0     	0      	0      	2     	0      	2      	2         	0         	8.282350548E-02 	2.572450880E-01 	0.00000000E+00  	3.65118000E+02  	7.01330000E+01  	0.00000000E+00  
0     	0      	0      	2     	1      	1      	2         	0         	3.806522314E-02 	1.042561721E-01 	0.00000000E+00  	3.65118000E+02  	9.52450000E+01  	0.00000000E+00  
0     	0      	0      	2     	2      	0      	2         	0         	7.604912025E-02 	1.720356414E-01 	0.00000000E+00  	3.65118000E+02  	1.36588000E+02  	0.00000000E+00  
0     	0      	0      	3     	1      	3      	2         	0         	2.589960496E-02 	5.713282206E-02 	0.00000000E+00  	3.65118000E+02  	1.42331000E+02  	0.00000000E+00  
0     	0      	0      	3     	2      	2      	2         	0         	8.740006303E-03 	1.482899276E-02 	0.00000000E+00  	3.65118000E+02  	2.06720000E+02  	0.00000000E+00  
0     	0      	0      	4     	0      	4      	2         	0         	1.943446027E-02 	3.109437038E-02 	0.00000000E+00  	3.65118000E+02  	2.22310000E+02  	0.00000000E+00  
0     	0      	0      	4     	1      	3      	2         	0         	7.254073085E-03 	9.595865183E-03 	0.00000000E+00  	3.65118000E+02  	2.76099000E+02  	0.00000000E+00  
0     	0      	0      	3     	3      	1      	2         	0         	1.207271519E-01 	1.538132558E-01 	0.00000000E+00  	3.65118000E+02  	2.87340000E+02  	0.00000000E+00  
0     	0      	0      	4     	2      	2      	2         	0         	3.809906083E-02 	4.416235333E-02 	0.00000000E+00  	3.65118000E+02  	3.16579000E+02  	0.00000000E+00  
0     	0      	0      	5     	1      	5      	2         	0         	1.640933893E-02 	1.841165001E-02 	0.00000000E+00  	3.65118000E+02  	3.26971000E+02  	0.00000000E+00  
0     	0      	0      	0     	0      	0      	2         	2         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00  	3.65118000E+02  	0.00000000E+00  	3.65118000E+02  
0     	0      	0      	4     	3      	1      	2         	0         	1.258751581E-02 	1.185335183E-02 	0.00000000E+00  	3.65118000E+02  	3.85920000E+02  	0.00000000E+00  
0     	0      	0      	1     	1      	1      	2         	2         	2.630555959E+01 	2.365715797E+01 	0.00000000E+00  	3.65118000E+02  	3.71580000E+01  	3.65118000E+02  
0     	0      	0      	5     	2      	4      	2         	0         	8.528040213E-03 	7.362355827E-03 	0.00000000E+00  	3.65118000E+02  	4.17119000E+02  	0.00000000E+00  
0     	0      	0      	2     	0      	2      	2         	2         	9.009902304E+00 	7.407796203E+00 	0.00000000E+00  	3.65118000E+02  	7.01330000E+01  	3.65118000E+02  
0     	0      	0      	6     	0      	6      	2         	0         	1.379492424E-02 	1.098386751E-02 	0.00000000E+00  	3.65118000E+02  	4.47413000E+02  	0.00000000E+00  
0     	0      	0      	2     	1      	1      	2         	2         	1.931754755E+00 	1.487271794E+00 	0.00000000E+00  	3.65118000E+02  	9.52450000E+01  	3.65118000E+02  
0     	0      	0      	4     	4      	0      	2         	0         	4.540246649E-02 	3.205914281E-02 	0.00000000E+00  	3.65118000E+02  	4.94713000E+02  	0.00000000E+00  
0     	0      	0      	2     	2      	0      	2         	2         	2.634256700E+00 	1.828434474E+00 	0.00000000E+00  	3.65118000E+02  	1.36588000E+02  	3.65118000E+02  
0     	0      	0      	5     	3      	3      	2         	0         	2.603867201E-02 	1.787329288E-02 	0.00000000E+00  	3.65118000E+02  	5.06274000E+02  	0.00000000E+00  
0     	0      	0      	3     	1      	3      	2         	2         	2.300772585E+00 	1.574785541E+00 	0.00000000E+00  	3.65118000E+02  	1.42331000E+02  	3.65118000E+02  
0     	0      	0      	6     	1      	5      	2         	0         	9.460513267E-04 	5.924471371E-04 	0.00000000E+00  	3.65118000E+02  	5.44916000E+02  	0.00000000E+00  
0     	0      	0      	3     	2      	2      	2         	2         	1.123979893E-01 	6.618687288E-02 	0.00000000E+00  	3.65118000E+02  	2.06720000E+02  	3.65118000E+02  
0     	0      	0      	4     	0      	4      	2         	2         	8.194764313E-01 	4.660621329E-01 	0.00000000E+00  	3.65118000E+02  	2.22310000E+02  	3.65118000E+02  
0     	0      	0      	7     	1      	7      	2         	0         	4.078750145E-03 	2.319040975E-03 	0.00000000E+00  	3.65118000E+02  	5.87559000E+02  	0.00000000E+00  
0     	0      	0      	6     	2      	4      	2         	0         	2.532420559E-03 	1.383652624E-03 	0.00000000E+00  	3.65118000E+02  	6.05742000E+02  	0.00000000E+00  
0     	0      	0      	5     	4      	2      	2         	0         	8.828690665E-04 	4.713384929E-04 	0.00000000E+00  	3.65118000E+02  	6.16483000E+02  	0.00000000E+00  
0     	0      	0      	4     	1      	3      	2         	2         	6.637895414E-02 	3.363157468E-02 	0.00000000E+00  	3.65118000E+02  	2.76099000E+02  	3.65118000E+02  
0     	0      	0      	3     	3      	1      	2         	2         	1.763598440E-01 	8.729407246E-02 	0.00000000E+00  	3.65118000E+02  	2.87340000E+02  	3.65118000E+02  
0     	0      	0      	6     	3      	3      	2         	0         	1.151083815E-03 	5.552444889E-04 	0.00000000E+00  	3.65118000E+02  	6.65045000E+02  	0.00000000E+00  
0     	0      	0      	4     	2      	2      	2         	2         	1.517851712E-01 	7.079454298E-02 	0.00000000E+00  	3.65118000E+02  	3.16579000E+02  	3.65118000E+02  
0     	0      	0      	5     	1      	5      	2         	2         	9.730771335E-02 	4.445537067E-02 	0.00000000E+00  	3.65118000E+02  	3.26971000E+02  	3.65118000E+02  
0     	0      	0      	7     	2      	6      	2         	0         	2.860454941E-04 	1.256612933E-04 	0.00000000E+00  	3.65118000E+02  	7.12042000E+02  	0.00000000E+00  
0     	0      	0      	8     	0      	8      	2         	0         	5.845147414E-05 	2.407327946E-05 	0.00000000E+00  	3.65118000E+02  	7.45781000E+02  	0.00000000E+00  
0     	0      	0      	4     	3      	1      	2         	2         	1.018541031E-02 	4.153666072E-03 	0.00000000E+00  	3.65118000E+02  	3.85920000E+02  	3.65118000E+02  
0     	0      	0      	5     	5      	1      	2         	0         	1.541568015E-03 	6.208509695E-04 	0.00000000E+00  	3.65118000E+02  	7.57732000E+02  	0.00000000E+00  
0     	0      	0      	6     	4      	2      	2         	0         	5.509205036E-03 	2.191487871E-03 	0.00000000E+00  	3.65118000E+02  	7.64401000E+02  	0.00000000E+00  
0     	0      	0      	5     	2      	4      	2         	2         	1.271597607E-02 	4.895403114E-03 	0.00000000E+00  	3.65118000E+02  	4.17119000E+02  	3.65118000E+02  
0     	0      	0      	6     	0      	6      	2         	2         	2.562704623E-02 	9.343724326E-03 	0.00000000E+00  	3.65118000E+02  	4.47413000E+02  	3.65118000E+02  
0     	0      	0      	7     	3      	5      	2         	0         	6.318426758E-04 	2.269777176E-04 	0.00000000E+00  	3.65118000E+02  	8.20944000E+02  	0.00000000E+00  
0     	0      	0      	4     	4      	0      	2         	2         	1.017059900E-02 	3.416088996E-03 	0.00000000E+00  	3.65118000E+02  	4.94713000E+02  	3.65118000E+02  
0     	0      	0      	5     	3      	3      	2         	2         	4.471529649E-02 	1.472808091E-02 	0.00000000E+00  	3.65118000E+02  	5.06274000E+02  	3.65118000E+02  
0     	0      	0      	8     	1      	7      	2         	0         	6.718748775E-05 	2.156114368E-05 	0.00000000E+00  	3.65118000E+02  	8.86960000E+02  	0.00000000E+00  
0     	0      	0      	6     	5      	1      	2         	0         	4.208497319E-05 	1.313541695E-05 	0.00000000E+00  	3.65118000E+02  	9.03800000E+02  	0.00000000E+00  
0     	0      	0      	6     	1      	5      	2         	2         	9.030229431E-04 	2.789910933E-04 	0.00000000E+00  	3.65118000E+02  	5.44916000E+02  	3.65118000E+02  
0     	0      	0      	9     	1      	9      	2         	0         	2.605085486E-04 	7.884467953E-05 	0.00000000E+00  	3.65118000E+02  	9.22728000E+02  	0.00000000E+00  
0     	0      	0      	7     	4      	4      	2         	0         	4.746823778E-05 	1.408004640E-05 	0.00000000E+00  	3.65118000E+02  	9.35278000E+02  	0.00000000E+00  
0     	0      	0      	7     	1      	7      	2         	2         	1.266908708E-02 	3.655601248E-03 	0.00000000E+00  	3.65118000E+02  	5.87559000E+02  	3.65118000E+02  
0     	0      	0      	6     	2      	4      	2         	2         	8.446118784E-04 	2.368743733E-04 	0.00000000E+00  	3.65118000E+02  	6.05742000E+02  	3.65118000E+02  
0     	0      	0      	5     	4      	2      	2         	2         	8.838825240E-04 	2.438033774E-04 	0.00000000E+00  	3.65118000E+02  	6.16483000E+02  	3.65118000E+02  
0     	0      	0      	8     	2      	6      	2         	0         	2.688296302E-04 	7.315574519E-05 	0.00000000E+00  	3.65118000E+02  	9.90412000E+02  	0.00000000E+00  
0     	0      	0      	6     	3      	3      	2         	2         	4.419534062E-04 	1.132733590E-04 	0.00000000E+00  	3.65118000E+02  	6.65045000E+02  	3.65118000E+02  
1     	1      	1      	0     	0      	0      	2         	0         	2.393992084E-03 	1.423577301E-02 	3.71580000E+01  	3.65118000E+02  	0.00000000E+00  	0.00000000E+00  
1     	1      	1      	1     	1      	1      	2         	0         	1.234295318E-02 	5.718906113E-02 	3.71580000E+01  	3.65118000E+02  	3.71580000E+01  	0.00000000E+00  
1     	1      	1      	2     	0      	2      	2         	0         	1.900181913E-02 	7.222445205E-02 	3.71580000E+01  	3.65118000E+02  	7.01330000E+01  	0.00000000E+00  
1     	1      	1      	2     	1      	1      	2         	0         	4.516207894E-02 	1.494291215E-01 	3.71580000E+01  	3.65118000E+02  	9.52450000E+01  	0.00000000E+00  
1     	1      	1      	2     	2      	0      	2         	0         	7.626040026E-02 	2.046918282E-01 	3.71580000E+01  	3.65118000E+02  	1.36588000E+02  	0.00000000E+00  
1     	1      	1      	3     	1      	3      	2         	0         	6.763319786E-02 	1.766270920E-01 	3.71580000E+01  	3.65118000E+02  	1.42331000E+02  	0.00000000E+00  
1     	1      	1      	3     	2      	2      	2         	0         	6.167354921E-02 	1.212398957E-01 	3.71580000E+01  	3.65118000E+02  	2.06720000E+02  	0.00000000E+00  
1     	1      	1      	4     	0      	4      	2         	0         	3.357502809E-02 	6.196640916E-02 	3.71580000E+01  	3.65118000E+02  	2.22310000E+02  	0.00000000E+00  
1     	1      	1      	4     	1      	3      	2         	0         	2.331346826E-02 	3.510166971E-02 	3.71580000E+01  	3.65118000E+02  	2.76099000E+02  	0.00000000E+00  
1     	1      	1      	3     	3      	1      	2         	0         	4.573308771E-01 	6.615414886E-01 	3.71580000E+01  	3.65118000E+02  	2.87340000E+02  	0.00000000E+00  
1     	1      	1      	4     	2      	2      	2         	0         	5.954749699E-02 	7.789567259E-02 	3.71580000E+01  	3.65118000E+02  	3.16579000E+02  	0.00000000E+00  
1     	1      	1      	5     	1      	5      	2         	0         	2.902580959E-02 	3.667981908E-02 	3.71580000E+01  	3.65118000E+02  	3.26971000E+02  	0.00000000E+00  
1     	1      	1      	0     	0      	0      	2         	2         	8.604291839E+00 	9.624628088E+00 	3.71580000E+01  	3.65118000E+02  	0.00000000E+00  	3.65118000E+02  
1     	1      	1      	4     	3      	1      	2         	0         	7.633707909E-02 	8.013515420E-02 	3.71580000E+01  	3.65118000E+02  	3.85920000E+02  	0.00000000E+00  
1     	1      	1      	1     	1      	1      	2         	2         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01  	3.65118000E+02  	3.71580000E+01  	3.65118000E+02  
1     	1      	1      	5     	2      	4      	2         	0         	2.280887186E-02 	2.184746499E-02 	3.71580000E+01  	3.65118000E+02  	4.17119000E+02  	0.00000000E+00  
1     	1      	1      	2     	0      	2      	2         	2         	1.075646154E+01 	9.787050976E+00 	3.71580000E+01  	3.65118000E+02  	7.01330000E+01  	3.65118000E+02  
1     	1      	1      	6     	0      	6      	2         	0         	1.305667199E-02 	1.148584778E-02 	3.71580000E+01  	3.65118000E+02  	4.47413000E+02  	0.00000000E+00  
1     	1      	1      	2     	1      	1      	2         	2         	9.381049564E+00 	7.966088606E+00 	3.71580000E+01  	3.65118000E+02  	9.52450000E+01  	3.65118000E+02  
1     	1      	1      	4     	4      	0      	2         	0         	1.150342291E-01 	8.920948160E-02 	3.71580000E+01  	3.65118000E+02  	4.94713000E+02  	0.00000000E+00  
1     	1      	1      	2     	2      	0      	2         	2         	6.394954240E+00 	4.870946054E+00 	3.71580000E+01  	3.65118000E+02  	1.36588000E+02  	3.65118000E+02  
1     	1      	1      	5     	3      	3      	2         	0         	2.623496451E-02 	1.975115378E-02 	3.71580000E+01  	3.65118000E+02  	5.06274000E+02  	0.00000000E+00  
1     	1      	1      	3     	1      	3      	2         	2         	3.139461274E+00 	2.356517341E+00 	3.71580000E+01  	3.65118000E+02  	1.42331000E+02  	3.65118000E+02  
1     	1      	1      	6     	1      	5      	2         	0         	5.147730698E-03 	3.520769571E-03 	3.71580000E+01  	3.65118000E+02  	5.44916000E+02  	0.00000000E+00  
1     	1      	1      	3     	2      	2      	2         	2         	1.022003815E+00 	6.554910941E-01 	3.71580000E+01  	3.65118000E+02  	2.06720000E+02  	3.65118000E+02  
1     	1      	1      	4     	0      	4      	2         	2         	8.842065661E-01 	5.469015691E-01 	3.71580000E+01  	3.65118000E+02  	2.22310000E+02  	3.65118000E+02  
1     	1      	1      	7     	1      	7      	2         	0         	8.139523534E-03 	5.032962041E-03 	3.71580000E+01  	3.65118000E+02  	5.87559000E+02  	0.00000000E+00  
1     	1      	1      	6     	2      	4      	2         	0         	9.378839966E-03 	5.563522816E-03 	3.71580000E+01  	3.65118000E+02  	6.05742000E+02  	0.00000000E+00  
1     	1      	1      	5     	4      	2      	2         	0         	1.606619942E-02 	9.303370915E-03 	3.71580000E+01  	3.65118000E+02  	6.16483000E+02  	0.00000000E+00  
1     	1      	1      	4     	1      	3      	2         	2         	2.203950762E-01 	1.208592775E-01 	3.71580000E+01  	3.65118000E+02  	2.76099000E+02  	3.65118000E+02  
1     	1      	1      	3     	3      	1      	2         	2         	4.813092965E-01 	2.576106932E-01 	3.71580000E+01  	3.65118000E+02  	2.87340000E+02  	3.65118000E+02  
1     	1      	1      	6     	3      	3      	2         	0         	4.209049727E-03 	2.193169411E-03 	3.71580000E+01  	3.65118000E+02  	6.65045000E+02  	0.00000000E+00  
1     	1      	1      	4     	2      	2      	2         	2         	1.107081762E-01 	5.570453074E-02 	3.71580000E+01  	3.65118000E+02  	3.16579000E+02  	3.65118000E+02  
1     	1      	1      	5     	1      	5      	2         	2         	3.408625295E-01 	1.678613406E-01 	3.71580000E+01  	3.65118000E+02  	3.26971000E+02  	3.65118000E+02  
1     	1      	1      	7     	2      	6      	2         	0         	5.747296224E-04 	2.717571734E-04 	3.71580000E+01  	3.65118000E+02  	7.12042000E+02  	0.00000000E+00  
1     	1      	1      	8     	0      	8      	2         	0         	1.263436108E-03 	5.587416646E-04 	3.71580000E+01  	3.65118000E+02  	7.45781000E+02  	0.00000000E+00  
1     	1      	1      	4     	3      	1      	2         	2         	1.114534356E-01 	4.878758218E-02 	3.71580000E+01  	3.65118000E+02  	3.85920000E+02  	3.65118000E+02  
1     	1      	1      	5     	5      	1      	2         	0         	4.670950162E-03 	2.018358425E-03 	3.71580000E+01  	3.65118000E+02  	7.57732000E+02  	0.00000000E+00  
1     	1      	1      	6     	4      	2      	2         	0         	4.551312199E-03 	1.941616979E-03 	3.71580000E+01  	3.65118000E+02  	7.64401000E+02  	0.00000000E+00  
1     	1      	1      	5     	2      	4      	2         	2         	4.381818741E-02 	1.807042982E-02 	3.71580000E+01  	3.65118000E+02  	4.17119000E+02  	3.65118000E+02  
1     	1      	1      	6     	0      	6      	2         	2         	4.916650791E-02 	1.916685441E-02 	3.71580000E+01  	3.65118000E+02  	4.47413000E+02  	3.65118000E+02  
1     	1      	1      	7     	3      	5      	2         	0         	1.093963892E-03 	4.199702536E-04 	3.71580000E+01  	3.65118000E+02  	8.20944000E+02  	0.00000000E+00  
1     	1      	1      	4     	4      	0      	2         	2         	2.069394695E-02 	7.411379579E-03 	3.71580000E+01  	3.65118000E+02  	4.94713000E+02  	3.65118000E+02  
1     	1      	1      	5     	3      	3      	2         	2         	3.500180690E-02 	1.228505643E-02 	3.71580000E+01  	3.65118000E+02  	5.06274000E+02  	3.65118000E+02  
1     	1      	1      	8     	1      	7      	2         	0         	1.587221329E-04 	5.423201052E-05 	3.71580000E+01  	3.65118000E+02  	8.86960000E+02  	0.00000000E+00  
1     	1      	1      	6     	5      	1      	2         	0         	9.438401646E-04 	3.133781036E-04 	3.71580000E+01  	3.65118000E+02  	9.03800000E+02  	0.00000000E+00  
1     	1      	1      	6     	1      	5      	2         	2         	7.617918736E-03 	2.502891177E-03 	3.71580000E+01  	3.65118000E+02  	5.44916000E+02  	3.65118000E+02  
1     	1      	1      	9     	1      	9      	2         	0         	1.633581285E-04 	5.254453764E-05 	3.71580000E+01  	3.65118000E+02  	9.22728000E+02  	0.00000000E+00  
1     	1      	1      	7     	4      	4      	2         	0         	7.242747356E-04 	2.281769713E-04 	3.71580000E+01  	3.65118000E+02  	9.35278000E+02  	0.00000000E+00  
1     	1      	1      	7     	1      	7      	2         	2         	1.154035463E-02 	3.533751931E-03 	3.71580000E+01  	3.65118000E+02  	5.87559000E+02  	3.65118000E+02  
1     	1      	1      	6     	2      	4      	2         	2         	5.240279264E-03 	1.558294148E-03 	3.71580000E+01  	3.65118000E+02  	6.05742000E+02  	3.65118000E+02  
1     	1      	1      	5     	4      	2      	2         	2         	9.580250605E-03 	2.800547243E-03 	3.71580000E+01  	3.65118000E+02  	6.16483000E+02  	3.65118000E+02  
1     	1      	1      	8     	2      	6      	2         	0         	2.734967782E-04 	7.884445558E-05 	3.71580000E+01  	3.65118000E+02  	9.90412000E+02  	0.00000000E+00  
1     	1      	1      	6     	3      	3      	2         	2         	3.480151619E-03 	9.432962315E-04 	3.71580000E+01  	3.65118000E+02  	6.65045000E+02  	3.65118000E+02  
1     	1      	1      	8     	3      	5      	2         	0         	1.849899149E-05 	4.799201329E-06 	3.71580000E+01  	3.65118000E+02  	1.05917500E+03  	0.00000000E+00  
1     	1      	1      	7     	5      	3      	2         	0         	2.992427636E-04 	7.583796594E-05 	3.71580000E+01  	3.65118000E+02  	1.07492400E+03  	0.00000000E+00  
1     	1      	1      	6     	6      	0      	2         	0         	5.520232858E-05 	1.395695201E-05 	3.71580000E+01  	3.65118000E+02  	1.07653100E+03  	0.00000000E+00  
1     	1      	1      	7     	2      	6      	2         	2         	8.935715960E-04 	2.257145365E-04 	3.71580000E+01  	3.65118000E+02  	7.12042000E+02  	3.65118000E+02  
2     	0      	2      	0     	0      	0      	2         	0         	7.350442121E-04 	5.617753171E-03 	7.01330000E+01  	3.65118000E+02  	0.00000000E+00  	0.00000000E+00  
2     	0      	2      	1     	1      	1      	2         	0         	4.373130723E-03 	2.524386119E-02 	7.01330000E+01  	3.65118000E+02  	3.71580000E+01  	0.00000000E+00  
2     	0      	2      	2     	0      	2      	2         	0         	8.796018685E-03 	4.075491845E-02 	7.01330000E+01  	3.65118000E+02  	7.01330000E+01  	0.00000000E+00  
2     	0      	2      	2     	1      	1      	2         	0         	1.171658785E-02 	4.660581876E-02 	7.01330000E+01  	3.65118000E+02  	9.52450000E+01  	0.00000000E+00  
2     	0      	2      	2     	2      	0      	2         	0         	4.832242977E-03 	1.529825903E-02 	7.01330000E+01  	3.65118000E+02  	1.36588000E+02  	0.00000000E+00  
2     	0      	2      	3     	1      	3      	2         	0         	2.962214872E-02 	9.103117245E-02 	7.01330000E+01  	3.65118000E+02  	1.42331000E+02  	0.00000000E+00  
2     	0      	2      	3     	2      	2      	2         	0         	2.839121843E-02 	6.422561441E-02 	7.01330000E+01  	3.65118000E+02  	2.06720000E+02  	0.00000000E+00  
2     	0      	2      	4     	0      	4      	2         	0         	1.983086516E-01 	4.192809382E-01 	7.01330000E+01  	3.65118000E+02  	2.22310000E+02  	0.00000000E+00  
2     	0      	2      	4     	1      	3      	2         	0         	9.020188910E-02 	1.534851915E-01 	7.01330000E+01  	3.65118000E+02  	2.76099000E+02  	0.00000000E+00  
2     	0      	2      	3     	3      	1      	2         	0         	2.667499470E-02 	4.349868402E-02 	7.01330000E+01  	3.65118000E+02  	2.87340000E+02  	0.00000000E+00  
