j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O       	E_i_H2        	E_f_H2O       	E_f_H2        
0     	0      	0      	9     	6      	4      	8         	6         	2.998372764E-08 	1.616677478E-04 	0.00000000E+00	4.38141600E+03	1.66271900E+03	2.55582600E+03
0     	0      	0      	17    	1      	17     	8         	4         	1.654889007E-12 	1.049706022E-09 	0.00000000E+00	4.38141600E+03	3.00579200E+03	1.21706000E+03
0     	0      	0      	16    	5      	11     	8         	2         	1.617835152E-12 	8.246494423E-11 	0.00000000E+00	4.38141600E+03	3.87430600E+03	3.65118000E+02
0     	0      	0      	17    	4      	14     	8         	2         	1.631870269E-13 	2.792756497E-12 	0.00000000E+00	4.38141600E+03	3.89109200E+03	3.65118000E+02
0     	0      	0      	11    	3      	9      	8         	6         	8.247928174E-09 	8.852909134E-08 	0.00000000E+00	4.38141600E+03	1.71087000E+03	2.55582600E+03
0     	0      	0      	14    	5      	9      	8         	4         	6.120056324E-12 	4.954770614E-11 	0.00000000E+00	4.38141600E+03	3.05726800E+03	1.21706000E+03
0     	0      	0      	18    	3      	15     	8         	0         	1.736315827E-14 	7.698500400E-14 	0.00000000E+00	4.38141600E+03	4.29471300E+03	0.00000000E+00
0     	0      	0      	10    	5      	5      	8         	6         	4.211335959E-08 	1.496930934E-07 	0.00000000E+00	4.38141600E+03	1.74805100E+03	2.55582600E+03
0     	0      	0      	15    	8      	8      	8         	2         	1.947749817E-12 	6.113071359E-12 	0.00000000E+00	4.38141600E+03	3.94438200E+03	3.65118000E+02
0     	0      	0      	12    	1      	11     	8         	6         	8.297298792E-10 	1.417979616E-09 	0.00000000E+00	4.38141600E+03	1.78677900E+03	2.55582600E+03
0     	0      	0      	17    	6      	12     	8         	0         	6.517182269E-14 	1.086272919E-13 	0.00000000E+00	4.38141600E+03	4.34419300E+03	0.00000000E+00
