#N =          J1         KA         KC         J2          E
    1          0          0          0          1    121.706
    2          1          1          1          1    158.864
    3          2          0          2          1    191.839
    4          2          1          1          1    216.951
    5          2          2          0          1    258.294
    6          3          1          3          1    264.037
    7          3          2          2          1    328.426
    8          4          0          4          1    344.016
    9          4          1          3          1    397.805
   10          3          3          1          1    409.046
   11          4          2          2          1    438.285
   12          5          1          5          1    448.677
   13          4          3          1          1    507.626
   14          5          2          4          1    538.825
   15          6          0          6          1    569.119
   16          4          4          0          1    616.419
   17          5          3          3          1    627.980
   18          6          1          5          1    666.622
   19          7          1          7          1    709.265
   20          6          2          4          1    727.448
   21          0          0          0          3    730.236
   22          5          4          2          1    738.189
   23          1          1          1          3    767.394
   24          6          3          3          1    786.751
   25          2          0          2          3    800.369
   26          2          1          1          3    825.481
   27          7          2          6          1    833.748
   28          2          2          0          3    866.824
   29          8          0          8          1    867.487
   30          3          1          3          3    872.567
   31          5          5          1          1    879.438
   32          6          4          2          1    886.107
   33          3          2          2          3    936.956
   34          7          3          5          1    942.650
   35          4          0          4          3    952.546
   36          4          1          3          3   1006.335
   37          8          1          7          1   1008.666
   38          3          3          1          3   1017.576
   39          6          5          1          1   1025.506
   40          9          1          9          1   1044.434
   41          4          2          2          3   1046.815
   42          7          4          4          1   1056.984
   43          5          1          5          3   1057.207
   44          8          2          6          1   1112.118
   45          4          3          1          3   1116.156
   46          5          2          4          3   1147.355
   47          6          0          6          3   1177.649
   48          8          3          5          1   1180.881
   49          7          5          3          1   1196.630
   50          6          6          0          1   1198.237
   51          9          2          8          1   1207.254
   52          4          4          0          3   1224.949
   53          5          3          3          3   1236.510
   54         10          0         10          1   1239.865
   55          8          4          4          1   1263.617
   56          6          1          5          3   1275.152
   57          7          1          7          3   1317.795
   58          6          2          4          3   1335.978
   59          9          3          7          1   1346.657
   60          5          4          2          3   1346.719
   61          7          6          2          1   1368.473
   62          8          5          3          1   1393.952
   63          6          3          3          3   1395.281
   64         10          1          9          1   1421.965
   65          7          2          6          3   1442.278
   66         11          1         11          1   1453.872
   67          9          4          6          1   1474.985
   68          8          0          8          3   1476.017
   69          5          5          1          3   1487.968
   70          6          4          2          3   1494.637
   71          7          3          5          3   1551.180
   72          8          6          2          1   1563.801
   73          7          7          1          1   1572.798
   74         10          2          8          1   1573.135
   75          9          5          5          1   1615.291
   76          8          1          7          3   1617.196
   77          6          5          1          3   1634.036
   78          9          1          9          3   1652.964
   79         11          2         10          1   1656.171
   80          7          4          4          3   1665.514
   81         10          3          7          1   1679.251
   82         12          0         12          1   1686.422
   83          8          2          6          3   1720.648
   84         10          4          6          1   1759.189
   85          8          7          1          1   1767.239
   86          9          6          4          1   1784.425
   87          8          3          5          3   1789.411
   88          7          5          3          3   1805.160
   89          6          6          0          3   1806.767
   90          9          2          8          3   1815.784
   91          0          0          0          5   1825.590
   92         11          3          9          1   1832.576
   93         10          0         10          3   1848.395
   94          1          1          1          5   1862.748
   95         10          5          5          1   1869.757
